estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
8.0,7.0,1.0,36.0,79203.88546794432,MORENA-PT-Partido Verde,1,84282.15941868072
8.0,7.0,2.0,47.0,49586.577424869254,MORENA-PT-Partido Verde,1,52765.89398181775
8.0,7.0,1.0,27.0,101306.70300485914,MORENA-PT-Partido Verde,1,107802.13170592685
8.0,98.0,2.0,29.0,84294.86012811598,NS,1,89699.5494289058
8.0,1.0,1.0,38.0,79203.88546794432,PAN-PRI-PRD,1,84282.15941868072
8.0,7.0,1.0,21.0,73284.06203320014,MORENA-PT-Partido Verde,1,77982.77777206337
8.0,7.0,1.0,62.0,44178.093512652755,MORENA-PT-Partido Verde,1,47010.637145493856
8.0,98.0,1.0,21.0,118080.44984751541,NS,1,125651.35207041918
8.0,99.0,2.0,28.0,85196.5582168885,NR,1,90659.06122073832
8.0,7.0,2.0,42.0,68547.68325932708,MORENA-PT-Partido Verde,1,72942.71908645272
14.0,7.0,2.0,18.0,61630.175222286474,MORENA-PT-Partido Verde,1,65581.68481757428
14.0,97.0,2.0,64.0,59851.66091051632,Ninguno,1,63689.13843721161
14.0,1.0,1.0,49.0,103043.63421367088,PAN-PRI-PRD,1,109650.42882134554
14.0,7.0,1.0,44.0,74540.5373766713,MORENA-PT-Partido Verde,1,79319.81388561285
14.0,4.0,2.0,45.0,162469.01963336894,MORENA-PT-Partido Verde,1,172885.96048584444
14.0,1.0,1.0,19.0,118080.44984751541,PAN-PRI-PRD,1,125651.35207041918
14.0,96.0,1.0,37.0,185739.0883468307,Ninguno,1,197648.02398063854
14.0,6.0,1.0,29.0,118080.44984751541,Movimiento Ciudadano,1,125651.35207041918
14.0,6.0,2.0,41.0,162469.01963336894,Movimiento Ciudadano,1,172885.96048584444
14.0,98.0,1.0,65.0,52043.64953013092,NS,1,55380.50488954488
14.0,97.0,2.0,33.0,72365.84550194349,Ninguno,1,77005.68843344045
14.0,6.0,1.0,63.0,89834.86744307537,Movimiento Ciudadano,1,95594.76248495012
14.0,7.0,2.0,35.0,71599.9443206376,MORENA-PT-Partido Verde,1,76190.68036811131
14.0,7.0,1.0,37.0,56688.75029786361,MORENA-PT-Partido Verde,1,60323.43314500694
14.0,7.0,1.0,35.0,79203.88546794432,MORENA-PT-Partido Verde,1,84282.15941868072
14.0,98.0,2.0,20.0,99302.88540954396,NS,1,105669.83638964892
14.0,7.0,1.0,26.0,85417.99066462996,MORENA-PT-Partido Verde,1,90894.69113650259
14.0,7.0,2.0,21.0,85196.5582168885,MORENA-PT-Partido Verde,1,90659.06122073832
14.0,4.0,1.0,49.0,103043.63421367088,MORENA-PT-Partido Verde,1,109650.42882134554
14.0,98.0,1.0,58.0,47861.56287872524,NS,1,50930.27758347205
25.0,7.0,1.0,60.0,46662.678858350475,MORENA-PT-Partido Verde,1,49654.52534565248
25.0,99.0,2.0,23.0,84294.86012811598,NR,1,89699.5494289058
25.0,7.0,2.0,48.0,72402.81949916674,MORENA-PT-Partido Verde,1,77045.03307303615
25.0,99.0,1.0,62.0,64505.73313434006,NR,1,68641.61336690582
25.0,7.0,2.0,25.0,71834.52425729156,MORENA-PT-Partido Verde,1,76440.30074343362
25.0,2.0,2.0,73.0,86466.24439835144,PAN-PRI-PRD,1,92010.15520464478
25.0,7.0,2.0,27.0,99302.88540954396,MORENA-PT-Partido Verde,1,105669.83638964892
25.0,7.0,2.0,24.0,71834.52425729156,MORENA-PT-Partido Verde,1,76440.30074343362
25.0,7.0,2.0,39.0,52348.590503384905,MORENA-PT-Partido Verde,1,55704.99760311865
25.0,7.0,1.0,31.0,66781.72864019462,MORENA-PT-Partido Verde,1,71063.53768194806
26.0,99.0,1.0,33.0,175421.87651195272,NR,1,186669.30889000813
26.0,4.0,2.0,67.0,86466.24439835144,MORENA-PT-Partido Verde,1,92010.15520464478
26.0,7.0,2.0,33.0,71599.9443206376,MORENA-PT-Partido Verde,1,76190.68036811131
26.0,7.0,1.0,74.0,46662.678858350475,MORENA-PT-Partido Verde,1,49654.52534565248
26.0,7.0,2.0,47.0,49586.577424869254,MORENA-PT-Partido Verde,1,52765.89398181775
26.0,7.0,2.0,37.0,71599.9443206376,MORENA-PT-Partido Verde,1,76190.68036811131
26.0,99.0,2.0,60.0,86466.24439835144,NR,1,92010.15520464478
26.0,7.0,2.0,37.0,51794.54671341547,MORENA-PT-Partido Verde,1,55115.430478283175
26.0,2.0,2.0,27.0,157232.60251206192,PAN-PRI-PRD,1,167313.80275654557
26.0,99.0,2.0,35.0,439670.1152341346,NR,1,467860.21323146624
2.0,1.0,1.0,56.0,96805.85518882747,PAN-PRI-PRD,1,103012.70539295222
2.0,7.0,2.0,54.0,50514.985140333905,MORENA-PT-Partido Verde,1,53753.82792745724
2.0,4.0,1.0,54.0,147790.2792558302,MORENA-PT-Partido Verde,1,157266.07101633283
2.0,5.0,2.0,28.0,85372.26562510624,MORENA-PT-Partido Verde,1,90846.03436862062
