N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
MORELOS,6.0,2.0,57.0,69470.91978886483,Movimiento Ciudadano,5,70243.94293818758
MORELOS,4.0,1.0,67.0,81840.35793983728,MORENA-PT-Partido Verde,5,82751.01942853826
MORELOS,7.0,2.0,24.0,88730.00956167355,MORENA-PT-Partido Verde,5,89717.33420973149
QUINTANA ROO,99.0,1.0,35.0,153249.0990040762,NS,5,154954.34634358235
MORELOS,99.0,2.0,47.0,69470.91978886483,NS,5,70243.94293818758
MORELOS,99.0,2.0,52.0,69470.91978886483,NS,5,70243.94293818758
MORELOS,7.0,2.0,19.0,88730.00956167355,MORENA-PT-Partido Verde,5,89717.33420973149
MORELOS,7.0,2.0,31.0,71161.01163872491,MORENA-PT-Partido Verde,5,71952.84093209174
MORELOS,6.0,2.0,32.0,71161.01163872491,Movimiento Ciudadano,5,71952.84093209174
QUINTANA ROO,5.0,2.0,31.0,134159.31491807682,MORENA-PT-Partido Verde,5,135652.14467251426
MORELOS,2.0,2.0,22.0,88730.00956167355,PAN-PRI-PRD,5,89717.33420973149
MORELOS,7.0,2.0,51.0,69470.91978886483,MORENA-PT-Partido Verde,5,70243.94293818758
MICHOACAN  DE OCAMPO,2.0,2.0,53.0,51728.67595552939,PAN-PRI-PRD,5,52304.275992479656
QUINTANA ROO,7.0,1.0,69.0,154293.0054114601,MORENA-PT-Partido Verde,5,156009.8686014701
MICHOACAN  DE OCAMPO,1.0,1.0,47.0,62170.113127750185,PAN-PRI-PRD,5,62861.898075895755
CIUDAD DE MEXICO,6.0,1.0,54.0,65971.57892277873,Movimiento Ciudadano,5,66705.66388753337
MEXICO,7.0,1.0,45.0,65409.36757922481,MORENA-PT-Partido Verde,5,66137.19665468505
MEXICO,99.0,2.0,51.0,60767.29086686028,NS,5,61443.466203310076
QUINTANA ROO,3.0,2.0,39.0,130453.82953699482,PAN-PRI-PRD,5,131905.42727683164
CIUDAD DE MEXICO,99.0,1.0,60.0,65971.57892277873,NS,5,66705.66388753337
MEXICO,7.0,1.0,65.0,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401
CIUDAD DE MEXICO,2.0,1.0,44.0,59084.920860981234,PAN-PRI-PRD,5,59742.375976592964
CIUDAD DE MEXICO,1.0,2.0,69.0,74794.00034921429,PAN-PRI-PRD,5,75626.25496562234
CIUDAD DE MEXICO,1.0,2.0,49.0,54891.68760813785,PAN-PRI-PRD,5,55502.48339658349
MICHOACAN  DE OCAMPO,7.0,1.0,52.0,62170.113127750185,MORENA-PT-Partido Verde,5,62861.898075895755
MEXICO,7.0,2.0,21.0,77613.51535348102,MORENA-PT-Partido Verde,5,78477.14353417735
CIUDAD DE MEXICO,7.0,2.0,26.0,56227.095202186276,MORENA-PT-Partido Verde,5,56852.75045970355
QUINTANA ROO,7.0,2.0,45.0,130453.82953699482,MORENA-PT-Partido Verde,5,131905.42727683164
CIUDAD DE MEXICO,99.0,2.0,34.0,56227.095202186276,NS,5,56852.75045970355
CIUDAD DE MEXICO,7.0,2.0,32.0,56227.095202186276,MORENA-PT-Partido Verde,5,56852.75045970355
CIUDAD DE MEXICO,4.0,1.0,51.0,65971.57892277873,MORENA-PT-Partido Verde,5,66705.66388753337
MEXICO,3.0,2.0,53.0,60767.29086686028,PAN-PRI-PRD,5,61443.466203310076
QUINTANA ROO,1.0,2.0,55.0,130972.99758637574,PAN-PRI-PRD,5,132430.37226024165
CIUDAD DE MEXICO,99.0,2.0,30.0,56227.095202186276,NS,5,56852.75045970355
MEXICO,1.0,1.0,79.0,71587.03023786917,PAN-PRI-PRD,5,72383.59996421401
MEXICO,99.0,2.0,59.0,60767.29086686028,NS,5,61443.466203310076
MEXICO,7.0,1.0,38.0,65409.36757922481,MORENA-PT-Partido Verde,5,66137.19665468505
GUERRERO,7.0,2.0,33.0,31332.031494050814,MORENA-PT-Partido Verde,5,31680.67213007264
GUERRERO,2.0,2.0,42.0,30466.639592402375,PAN-PRI-PRD,5,30805.65076079596
QUINTANA ROO,1.0,1.0,75.0,154293.0054114601,PAN-PRI-PRD,5,156009.8686014701
GUERRERO,99.0,1.0,33.0,35790.32584776304,NS,5,36188.575222986656
GUERRERO,2.0,1.0,18.0,30472.879631323463,PAN-PRI-PRD,5,30811.960234446764
QUINTANA ROO,5.0,2.0,19.0,167282.01330109462,MORENA-PT-Partido Verde,5,169143.40896333815
MICHOACAN  DE OCAMPO,7.0,1.0,73.0,64324.41657177558,MORENA-PT-Partido Verde,5,65040.173081517845
GUERRERO,1.0,2.0,55.0,30587.887898446876,PAN-PRI-PRD,5,30928.248232040427
MEXICO,1.0,1.0,18.0,60538.81020668573,PAN-PRI-PRD,5,61212.44317231297
MEXICO,7.0,1.0,20.0,60538.81020668573,MORENA-PT-Partido Verde,5,61212.44317231297
GUERRERO,99.0,2.0,45.0,30466.639592402375,NS,5,30805.65076079596
GUERRERO,99.0,1.0,56.0,36762.05539496535,NS,5,37171.117487756994
MICHOACAN  DE OCAMPO,7.0,1.0,43.0,58773.48723479726,MORENA-PT-Partido Verde,5,59427.47693778384
QUINTANA ROO,99.0,1.0,25.0,130480.5484986068,NS,5,131932.44354810807
MEXICO,1.0,2.0,29.0,64905.42098456637,PAN-PRI-PRD,5,65627.6424995556
GUERRERO,7.0,1.0,30.0,35790.32584776304,MORENA-PT-Partido Verde,5,36188.575222986656
MICHOACAN  DE OCAMPO,7.0,2.0,61.0,74399.76496045296,MORENA-PT-Partido Verde,5,75227.63280491787
MEXICO,7.0,1.0,27.0,74140.93678429199,MORENA-PT-Partido Verde,5,74965.92457228899
GUERRERO,2.0,2.0,47.0,30587.887898446876,PAN-PRI-PRD,5,30928.248232040427
MEXICO,7.0,1.0,66.0,74645.97204689088,MORENA-PT-Partido Verde,5,75476.57950928401
MEXICO,1.0,1.0,59.0,76153.90920697972,PAN-PRI-PRD,5,77001.29592515375
QUINTANA ROO,1.0,2.0,49.0,130972.99758637574,PAN-PRI-PRD,5,132430.37226024165
MICHOACAN  DE OCAMPO,1.0,2.0,40.0,54385.91627756178,PAN-PRI-PRD,5,54991.08420116862
MEXICO,7.0,1.0,38.0,68204.33544595882,MORENA-PT-Partido Verde,5,68963.26494256167
MICHOACAN  DE OCAMPO,7.0,1.0,32.0,63889.21427319153,MORENA-PT-Partido Verde,5,64600.128160258486
MEXICO,1.0,1.0,21.0,63125.65725138546,PAN-PRI-PRD,5,63828.074817179026
MICHOACAN  DE OCAMPO,2.0,2.0,43.0,51523.62700431195,PAN-PRI-PRD,5,52096.94540188682
MICHOACAN  DE OCAMPO,3.0,1.0,52.0,62170.113127750185,PAN-PRI-PRD,5,62861.898075895755
MICHOACAN  DE OCAMPO,7.0,2.0,31.0,52987.133651241464,MORENA-PT-Partido Verde,5,53576.736913342414
GUERRERO,7.0,2.0,28.0,31332.031494050814,MORENA-PT-Partido Verde,5,31680.67213007264
MEXICO,7.0,1.0,56.0,76153.90920697972,MORENA-PT-Partido Verde,5,77001.29592515375
MEXICO,7.0,2.0,43.0,63112.73078815214,MORENA-PT-Partido Verde,5,63815.00451742608
MEXICO,99.0,2.0,58.0,63363.90097955765,NS,5,64068.96955267367
MICHOACAN  DE OCAMPO,4.0,2.0,52.0,54602.35630211168,MORENA-PT-Partido Verde,5,55209.93261688313
MEXICO,7.0,2.0,52.0,63363.90097955765,MORENA-PT-Partido Verde,5,64068.96955267367
MICHOACAN  DE OCAMPO,1.0,2.0,42.0,51523.62700431195,PAN-PRI-PRD,5,52096.94540188682
MICHOACAN  DE OCAMPO,4.0,2.0,26.0,66236.63633834635,MORENA-PT-Partido Verde,5,66973.67067412927
MICHOACAN  DE OCAMPO,99.0,2.0,56.0,54602.35630211168,NS,5,55209.93261688313
MICHOACAN  DE OCAMPO,7.0,1.0,25.0,54397.05535423289,MORENA-PT-Partido Verde,5,55002.34722558873
MICHOACAN  DE OCAMPO,7.0,2.0,51.0,64663.499635260654,MORENA-PT-Partido Verde,5,65383.02922096641
MORELOS,2.0,1.0,70.0,82032.45229427367,PAN-PRI-PRD,5,82945.25127278024
MICHOACAN  DE OCAMPO,7.0,1.0,27.0,63889.21427319153,MORENA-PT-Partido Verde,5,64600.128160258486
CIUDAD DE MEXICO,7.0,1.0,34.0,77332.15879663048,MORENA-PT-Partido Verde,5,78192.65624100836
MEXICO,7.0,2.0,40.0,60526.413461235476,MORENA-PT-Partido Verde,5,61199.90848466706
CIUDAD DE MEXICO,7.0,1.0,32.0,77332.15879663048,MORENA-PT-Partido Verde,5,78192.65624100836
MICHOACAN  DE OCAMPO,99.0,2.0,43.0,54385.91627756178,NS,5,54991.08420116862
CIUDAD DE MEXICO,7.0,2.0,45.0,65829.26964624513,MORENA-PT-Partido Verde,5,66561.77109424977
MORELOS,6.0,2.0,65.0,94881.4695118666,Movimiento Ciudadano,5,95937.24324564391
CIUDAD DE MEXICO,1.0,2.0,40.0,65829.26964624513,PAN-PRI-PRD,5,66561.77109424977
MEXICO,7.0,1.0,29.0,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752
CIUDAD DE MEXICO,1.0,2.0,41.0,65829.26964624513,PAN-PRI-PRD,5,66561.77109424977
CIUDAD DE MEXICO,2.0,1.0,32.0,77332.15879663048,PAN-PRI-PRD,5,78192.65624100836
MORELOS,4.0,2.0,22.0,88938.27519411877,MORENA-PT-Partido Verde,5,89927.9172745006
CIUDAD DE MEXICO,99.0,2.0,21.0,84413.4112401941,NS,5,85352.70384205239
MORELOS,5.0,2.0,35.0,71328.03960556042,MORENA-PT-Partido Verde,5,72121.72746774051
MICHOACAN  DE OCAMPO,99.0,2.0,51.0,51728.67595552939,NS,5,52304.275992479656
MICHOACAN  DE OCAMPO,7.0,1.0,32.0,60526.77367814427,MORENA-PT-Partido Verde,5,61200.27270981427
MICHOACAN  DE OCAMPO,2.0,2.0,60.0,51728.67595552939,PAN-PRI-PRD,5,52304.275992479656
MORELOS,1.0,1.0,64.0,82032.45229427367,PAN-PRI-PRD,5,82945.25127278024
MEXICO,2.0,1.0,30.0,64908.01792658057,PAN-PRI-PRD,5,65630.26833849963
MORELOS,7.0,2.0,32.0,71328.03960556042,MORENA-PT-Partido Verde,5,72121.72746774051
MEXICO,99.0,2.0,52.0,55473.06790370331,NS,5,56090.33287995297
MORELOS,7.0,2.0,55.0,69633.98079965312,MORENA-PT-Partido Verde,5,70408.8183763143
MORELOS,6.0,1.0,45.0,74953.39320142585,Movimiento Ciudadano,5,75787.42142850396
MORELOS,4.0,1.0,36.0,74953.39320142585,MORENA-PT-Partido Verde,5,75787.42142850396
MORELOS,7.0,2.0,24.0,88938.27519411877,MORENA-PT-Partido Verde,5,89927.9172745006
MEXICO,1.0,2.0,58.0,55473.06790370331,PAN-PRI-PRD,5,56090.33287995297
MEXICO,2.0,1.0,69.0,71587.03023786917,PAN-PRI-PRD,5,72383.59996421401
MEXICO,7.0,1.0,70.0,65350.16013977783,MORENA-PT-Partido Verde,5,66077.33039682248
CIUDAD DE MEXICO,7.0,1.0,23.0,65842.75249864484,MORENA-PT-Partido Verde,5,66575.40397427334
MEXICO,1.0,2.0,28.0,56822.619345309686,PAN-PRI-PRD,5,57454.90117334041
CIUDAD DE MEXICO,5.0,1.0,63.0,77858.93211268428,MORENA-PT-Partido Verde,5,78725.29111710761
MEXICO,6.0,1.0,70.0,65350.16013977783,Movimiento Ciudadano,5,66077.33039682248
MEXICO,7.0,2.0,19.0,70851.60035983725,MORENA-PT-Partido Verde,5,71639.98674382604
MEXICO,7.0,1.0,28.0,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752
MEXICO,1.0,2.0,19.0,77613.51535348102,PAN-PRI-PRD,5,78477.14353417735
MEXICO,6.0,1.0,28.0,71102.69098119572,Movimiento Ciudadano,5,71893.87132362752
MEXICO,7.0,1.0,79.0,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401
