columnas,genero,indice_gap,min,max,estado,total
_18_HOMBRES,1,18,18,18,1,10419.0
_18_MUJERES,2,18,18,18,1,10682.0
_18_NOBINARIO,9,18,18,18,1,0.0
_19_HOMBRES,1,19,19,19,1,12893.0
_19_MUJERES,2,19,19,19,1,13080.0
_19_NOBINARIO,9,19,19,19,1,0.0
_20_24_HOMBRES,1,2024,20,24,1,69819.0
_20_24_MUJERES,2,2024,20,24,1,69209.0
_20_24_NOBINARIO,9,2024,20,24,1,2.0
_25_29_HOMBRES,1,2529,25,29,1,66951.0
_25_29_MUJERES,2,2529,25,29,1,66534.0
_25_29_NOBINARIO,9,2529,25,29,1,0.0
_30_34_HOMBRES,1,3034,30,34,1,63052.0
_30_34_MUJERES,2,3034,30,34,1,64327.0
_30_34_NOBINARIO,9,3034,30,34,1,0.0
_35_39_HOMBRES,1,3539,35,39,1,54947.0
_35_39_MUJERES,2,3539,35,39,1,57168.0
_35_39_NOBINARIO,9,3539,35,39,1,1.0
_40_44_HOMBRES,1,4044,40,44,1,51217.0
_40_44_MUJERES,2,4044,40,44,1,54027.0
_40_44_NOBINARIO,9,4044,40,44,1,0.0
_45_49_HOMBRES,1,4549,45,49,1,46900.0
_45_49_MUJERES,2,4549,45,49,1,50716.0
_45_49_NOBINARIO,9,4549,45,49,1,0.0
_50_54_HOMBRES,1,5054,50,54,1,42578.0
_50_54_MUJERES,2,5054,50,54,1,47388.0
_50_54_NOBINARIO,9,5054,50,54,1,0.0
_55_59_HOMBRES,1,5559,55,59,1,35330.0
_55_59_MUJERES,2,5559,55,59,1,39982.0
_55_59_NOBINARIO,9,5559,55,59,1,0.0
_60_64_HOMBRES,1,6064,60,64,1,28562.0
_60_64_MUJERES,2,6064,60,64,1,32846.0
_60_64_NOBINARIO,9,6064,60,64,1,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,1,56572.0
_65_Y_MAS_MUJERES,2,65,65,100,1,69085.0
_65_Y_MAS_NOBINARIO,9,65,65,100,1,0.0
_18_HOMBRES,1,18,18,18,2,23866.0
_18_MUJERES,2,18,18,18,2,23817.0
_18_NOBINARIO,9,18,18,18,2,0.0
_19_HOMBRES,1,19,19,19,2,32770.0
_19_MUJERES,2,19,19,19,2,31571.0
_19_NOBINARIO,9,19,19,19,2,0.0
_20_24_HOMBRES,1,2024,20,24,2,181421.0
_20_24_MUJERES,2,2024,20,24,2,174487.0
_20_24_NOBINARIO,9,2024,20,24,2,2.0
_25_29_HOMBRES,1,2529,25,29,2,195165.0
_25_29_MUJERES,2,2529,25,29,2,184162.0
_25_29_NOBINARIO,9,2529,25,29,2,1.0
_30_34_HOMBRES,1,3034,30,34,2,185374.0
_30_34_MUJERES,2,3034,30,34,2,177257.0
_30_34_NOBINARIO,9,3034,30,34,2,1.0
_35_39_HOMBRES,1,3539,35,39,2,165475.0
_35_39_MUJERES,2,3539,35,39,2,160568.0
_35_39_NOBINARIO,9,3539,35,39,2,0.0
_40_44_HOMBRES,1,4044,40,44,2,154735.0
_40_44_MUJERES,2,4044,40,44,2,151397.0
_40_44_NOBINARIO,9,4044,40,44,2,0.0
_45_49_HOMBRES,1,4549,45,49,2,149860.0
_45_49_MUJERES,2,4549,45,49,2,149150.0
_45_49_NOBINARIO,9,4549,45,49,2,0.0
_50_54_HOMBRES,1,5054,50,54,2,144696.0
_50_54_MUJERES,2,5054,50,54,2,142741.0
_50_54_NOBINARIO,9,5054,50,54,2,0.0
_55_59_HOMBRES,1,5559,55,59,2,116842.0
_55_59_MUJERES,2,5559,55,59,2,119048.0
_55_59_NOBINARIO,9,5559,55,59,2,0.0
_60_64_HOMBRES,1,6064,60,64,2,91243.0
_60_64_MUJERES,2,6064,60,64,2,97925.0
_60_64_NOBINARIO,9,6064,60,64,2,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,2,167878.0
_65_Y_MAS_MUJERES,2,65,65,100,2,205577.0
_65_Y_MAS_NOBINARIO,9,65,65,100,2,0.0
_18_HOMBRES,1,18,18,18,3,4611.0
_18_MUJERES,2,18,18,18,3,4468.0
_18_NOBINARIO,9,18,18,18,3,0.0
_19_HOMBRES,1,19,19,19,3,6984.0
_19_MUJERES,2,19,19,19,3,6406.0
_19_NOBINARIO,9,19,19,19,3,0.0
_20_24_HOMBRES,1,2024,20,24,3,36379.0
_20_24_MUJERES,2,2024,20,24,3,33973.0
_20_24_NOBINARIO,9,2024,20,24,3,0.0
_25_29_HOMBRES,1,2529,25,29,3,36930.0
_25_29_MUJERES,2,2529,25,29,3,34133.0
_25_29_NOBINARIO,9,2529,25,29,3,0.0
_30_34_HOMBRES,1,3034,30,34,3,38123.0
_30_34_MUJERES,2,3034,30,34,3,35532.0
_30_34_NOBINARIO,9,3034,30,34,3,0.0
_35_39_HOMBRES,1,3539,35,39,3,35583.0
_35_39_MUJERES,2,3539,35,39,3,33227.0
_35_39_NOBINARIO,9,3539,35,39,3,0.0
_40_44_HOMBRES,1,4044,40,44,3,33600.0
_40_44_MUJERES,2,4044,40,44,3,31198.0
_40_44_NOBINARIO,9,4044,40,44,3,0.0
_45_49_HOMBRES,1,4549,45,49,3,30239.0
_45_49_MUJERES,2,4549,45,49,3,28863.0
_45_49_NOBINARIO,9,4549,45,49,3,0.0
_50_54_HOMBRES,1,5054,50,54,3,26604.0
_50_54_MUJERES,2,5054,50,54,3,25205.0
_50_54_NOBINARIO,9,5054,50,54,3,0.0
_55_59_HOMBRES,1,5559,55,59,3,20604.0
_55_59_MUJERES,2,5559,55,59,3,20238.0
_55_59_NOBINARIO,9,5559,55,59,3,0.0
_60_64_HOMBRES,1,6064,60,64,3,16098.0
_60_64_MUJERES,2,6064,60,64,3,16489.0
_60_64_NOBINARIO,9,6064,60,64,3,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,3,28792.0
_65_Y_MAS_MUJERES,2,65,65,100,3,31498.0
_65_Y_MAS_NOBINARIO,9,65,65,100,3,0.0
_18_HOMBRES,1,18,18,18,4,5627.0
_18_MUJERES,2,18,18,18,4,5571.0
_18_NOBINARIO,9,18,18,18,4,0.0
_19_HOMBRES,1,19,19,19,4,7566.0
_19_MUJERES,2,19,19,19,4,7434.0
_19_NOBINARIO,9,19,19,19,4,0.0
_20_24_HOMBRES,1,2024,20,24,4,39095.0
_20_24_MUJERES,2,2024,20,24,4,39082.0
_20_24_NOBINARIO,9,2024,20,24,4,0.0
_25_29_HOMBRES,1,2529,25,29,4,39431.0
_25_29_MUJERES,2,2529,25,29,4,39391.0
_25_29_NOBINARIO,9,2529,25,29,4,0.0
_30_34_HOMBRES,1,3034,30,34,4,38554.0
_30_34_MUJERES,2,3034,30,34,4,40246.0
_30_34_NOBINARIO,9,3034,30,34,4,0.0
_35_39_HOMBRES,1,3539,35,39,4,36596.0
_35_39_MUJERES,2,3539,35,39,4,38395.0
_35_39_NOBINARIO,9,3539,35,39,4,0.0
_40_44_HOMBRES,1,4044,40,44,4,33572.0
_40_44_MUJERES,2,4044,40,44,4,36029.0
_40_44_NOBINARIO,9,4044,40,44,4,0.0
_45_49_HOMBRES,1,4549,45,49,4,31445.0
_45_49_MUJERES,2,4549,45,49,4,33343.0
_45_49_NOBINARIO,9,4549,45,49,4,0.0
_50_54_HOMBRES,1,5054,50,54,4,27819.0
_50_54_MUJERES,2,5054,50,54,4,29172.0
_50_54_NOBINARIO,9,5054,50,54,4,0.0
_55_59_HOMBRES,1,5559,55,59,4,23231.0
_55_59_MUJERES,2,5559,55,59,4,24304.0
_55_59_NOBINARIO,9,5559,55,59,4,0.0
_60_64_HOMBRES,1,6064,60,64,4,18963.0
_60_64_MUJERES,2,6064,60,64,4,20020.0
_60_64_NOBINARIO,9,6064,60,64,4,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,4,39998.0
_65_Y_MAS_MUJERES,2,65,65,100,4,43026.0
_65_Y_MAS_NOBINARIO,9,65,65,100,4,0.0
_18_HOMBRES,1,18,18,18,5,21763.0
_18_MUJERES,2,18,18,18,5,21168.0
_18_NOBINARIO,9,18,18,18,5,0.0
_19_HOMBRES,1,19,19,19,5,26505.0
_19_MUJERES,2,19,19,19,5,25935.0
_19_NOBINARIO,9,19,19,19,5,0.0
_20_24_HOMBRES,1,2024,20,24,5,144981.0
_20_24_MUJERES,2,2024,20,24,5,141598.0
_20_24_NOBINARIO,9,2024,20,24,5,0.0
_25_29_HOMBRES,1,2529,25,29,5,140951.0
_25_29_MUJERES,2,2529,25,29,5,137241.0
_25_29_NOBINARIO,9,2529,25,29,5,0.0
_30_34_HOMBRES,1,3034,30,34,5,131420.0
_30_34_MUJERES,2,3034,30,34,5,129251.0
_30_34_NOBINARIO,9,3034,30,34,5,0.0
_35_39_HOMBRES,1,3539,35,39,5,116696.0
_35_39_MUJERES,2,3539,35,39,5,116120.0
_35_39_NOBINARIO,9,3539,35,39,5,0.0
_40_44_HOMBRES,1,4044,40,44,5,113029.0
_40_44_MUJERES,2,4044,40,44,5,113329.0
_40_44_NOBINARIO,9,4044,40,44,5,0.0
_45_49_HOMBRES,1,4549,45,49,5,112056.0
_45_49_MUJERES,2,4549,45,49,5,115910.0
_45_49_NOBINARIO,9,4549,45,49,5,0.0
_50_54_HOMBRES,1,5054,50,54,5,103896.0
_50_54_MUJERES,2,5054,50,54,5,109099.0
_50_54_NOBINARIO,9,5054,50,54,5,0.0
_55_59_HOMBRES,1,5559,55,59,5,85150.0
_55_59_MUJERES,2,5559,55,59,5,91760.0
_55_59_NOBINARIO,9,5559,55,59,5,0.0
_60_64_HOMBRES,1,6064,60,64,5,69744.0
