voto,genero,edad,ponderado,inverso,homo_pon,estado,partido
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,49,0.21,4.761904761904762,230102.20182313918,NA,MORENA-PT-Partido Verde
Ninguno,Mujer,34,0.44,2.272727272727273,109821.50541558917,NA,Ninguno
Ninguno,Hombre,50,0.3,3.3333333333333335,161071.54127619744,NA,Ninguno
NS/NC,Mujer,22,1.99,0.5025125628140703,24282.141900934286,NA,NS
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,68,0.39,2.564102564102564,123901.18559707493,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,28,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,29,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,33,1.79,0.5586592178770949,26995.230381485602,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,47,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,33,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,27,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,42,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,50,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,31,0.25,4.0,193285.84953143692,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,37,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,26,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,58,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,33,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,43,1.9,0.5263157894736842,25432.34862255749,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,54,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,26,0.99,1.0101010101010102,48809.55796248407,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,33,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,44,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,23,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,55,0.47,2.127659574468085,102811.62209118984,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,57,0.39,2.564102564102564,123901.18559707493,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,34,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,49,1.4,0.7142857142857143,34515.33027347088,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,45,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,58,0.45,2.2222222222222223,107381.02751746497,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,30,0.58,1.7241379310344829,83312.8661773435,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,68,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde
