estado,voto,genero,edad,ponderado,partido,encuesta,inverso,homo_pon
14,3,2,19,0.45497100005745206,Movimiento Ciudadano,2,2.1979422861538946,139767.93465517033
14,2,2,38,1.198200797319328,PAN-PRI-PRD,2,0.8345846557916233,53071.536213541876
14,3,2,36,0.4056568090985166,Movimiento Ciudadano,2,2.465137962856536,156759.0031271584
14,2,1,41,0.8397506052671342,PAN-PRI-PRD,2,1.1908297460314288,75725.28868353557
15,1,1,32,3.74106961394778,MORENA-PT-Partido Verde,2,0.26730323228194236,16997.9079696738
14,2,2,34,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081
16,3,1,43,0.8397506052671342,Movimiento Ciudadano,2,1.1908297460314288,75725.28868353557
14,3,1,32,0.7060986874661334,Movimiento Ciudadano,2,1.4162326283150937,90058.7384381414
16,1,2,36,0.4056568090985166,MORENA-PT-Partido Verde,2,2.465137962856536,156759.0031271584
14,1,2,34,0.7575168826792147,MORENA-PT-Partido Verde,2,1.3201025915926279,83945.79508395727
14,1,1,39,1.0264407229216197,MORENA-PT-Partido Verde,2,0.9742403800519918,61952.29357719403
14,3,2,20,1.3438616160233574,Movimiento Ciudadano,2,0.7441242372552586,47319.125903899774
15,1,2,33,0.6325764682109873,MORENA-PT-Partido Verde,2,1.5808365474424564,100525.96042004167
15,1,1,45,0.6617955517242865,MORENA-PT-Partido Verde,2,1.5110406792468354,96087.61624393649
15,1,2,28,0.49211205244926565,MORENA-PT-Partido Verde,2,2.0320575263762617,129219.26355905154
14,3,1,30,0.8455605029158749,Movimiento Ciudadano,2,1.1826474824114275,75204.97561882225
14,3,1,39,0.8397506052671342,Movimiento Ciudadano,2,1.1908297460314288,75725.28868353557
14,1,2,30,0.7575168826792147,MORENA-PT-Partido Verde,2,1.3201025915926279,83945.79508395727
16,2,2,26,0.49211205244926565,PAN-PRI-PRD,2,2.0320575263762617,129219.26355905154
16,2,2,29,0.6325764682109873,PAN-PRI-PRD,2,1.5808365474424564,100525.96042004167
18,1,2,41,1.7495041149930257,MORENA-PT-Partido Verde,2,0.5715905389590846,36347.64643367584
8,1,2,45,0.5734518885405548,MORENA-PT-Partido Verde,2,1.7438254542068343,110890.48318921059
30,1,1,67,1.249948108193703,MORENA-PT-Partido Verde,2,0.8000332121347803,50874.39757632958
2,1,1,47,0.5148430010080732,MORENA-PT-Partido Verde,2,1.942339699756973,123514.07493452611
8,1,2,19,0.8560429966237764,MORENA-PT-Partido Verde,2,1.1681656224558676,74284.06897413691
6,1,2,24,0.7003449965462845,MORENA-PT-Partido Verde,2,1.4278677008209508,90798.61685257989
14,1,2,22,0.8560429966237764,MORENA-PT-Partido Verde,2,1.1681656224558676,74284.06897413691
32,2,2,50,0.3725363649355181,PAN-PRI-PRD,2,2.6843017061517975,170695.70380608144
1,2,2,49,0.4788700801741992,PAN-PRI-PRD,2,2.0882490708883474,132792.50393529516
2,2,1,98,0.8455605029158749,PAN-PRI-PRD,2,1.1826474824114275,75204.97561882225
8,2,2,44,0.6244347805271155,PAN-PRI-PRD,2,1.6014482715966778,101836.66731751837
2,2,2,33,0.7575168826792147,PAN-PRI-PRD,2,1.3201025915926279,83945.79508395727
15,2,1,21,0.5458401079084114,PAN-PRI-PRD,2,1.832038330477162,116499.97148376924
9,2,2,27,0.7575168826792147,PAN-PRI-PRD,2,1.3201025915926279,83945.79508395727
8,2,2,35,0.5214441514450278,PAN-PRI-PRD,2,1.9177509177709573,121950.46550969199
16,3,2,22,0.7003449965462845,Movimiento Ciudadano,2,1.4278677008209508,90798.61685257989
18,3,1,18,1.0270162309078112,Movimiento Ciudadano,2,0.9736944460128631,61917.577436744104
12,1,2,52,1.6066632898079851,MORENA-PT-Partido Verde,2,0.6224079471682654,39579.143563818674
16,2,2,25,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081
9,3,2,68,1.9829470753643388,Movimiento Ciudadano,2,0.5042998940434474,32068.610300324646
15,1,1,33,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114275,75204.97561882225
