estado,voto,genero,edad,ponderado,homo_pon,partido
2.0,70.0,2.0,3.0,68800.44444444444,69652.77815719323,Ninguno
2.0,1.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
2.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
2.0,1.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
2.0,6.0,2.0,4.0,80004.42352941177,80995.5576404452,Movimiento Ciudadano
2.0,1.0,1.0,5.0,108310.66666666667,109652.47242672743,PAN-PRI-PRD
2.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
2.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
2.0,7.0,1.0,3.0,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde
2.0,7.0,2.0,5.0,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde
1.0,7.0,2.0,4.0,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,1.0,2.0,3.0,68800.44444444444,69652.77815719323,PAN-PRI-PRD
1.0,3.0,1.0,4.0,92169.29629629629,93311.13482870723,PAN-PRI-PRD
1.0,1.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
1.0,1.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
1.0,7.0,1.0,4.0,92169.29629629629,93311.13482870723,MORENA-PT-Partido Verde
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,70.0,2.0,3.0,68800.44444444444,69652.77815719323,Ninguno
1.0,1.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
1.0,7.0,1.0,3.0,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde
1.0,70.0,2.0,3.0,68800.44444444444,69652.77815719323,Ninguno
1.0,1.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
1.0,2.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
1.0,1.0,1.0,5.0,108310.66666666667,109652.47242672743,PAN-PRI-PRD
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,6.0,2.0,4.0,80004.42352941177,80995.5576404452,Movimiento Ciudadano
1.0,7.0,1.0,4.0,92169.29629629629,93311.13482870723,MORENA-PT-Partido Verde
1.0,1.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
1.0,7.0,2.0,2.0,148568.65384615384,150409.19533325185,MORENA-PT-Partido Verde
1.0,1.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
1.0,1.0,1.0,4.0,92169.29629629629,93311.13482870723,PAN-PRI-PRD
1.0,3.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
1.0,1.0,1.0,3.0,65556.2700421941,66368.41332833441,PAN-PRI-PRD
1.0,7.0,1.0,4.0,92169.29629629629,93311.13482870723,MORENA-PT-Partido Verde
1.0,1.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
1.0,7.0,2.0,4.0,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde
1.0,2.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
1.0,6.0,2.0,3.0,68800.44444444444,69652.77815719323,Movimiento Ciudadano
1.0,7.0,1.0,5.0,108310.66666666667,109652.47242672743,MORENA-PT-Partido Verde
1.0,7.0,1.0,4.0,92169.29629629629,93311.13482870723,MORENA-PT-Partido Verde
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,70.0,1.0,3.0,65556.2700421941,66368.41332833441,Ninguno
1.0,1.0,2.0,3.0,68800.44444444444,69652.77815719323,PAN-PRI-PRD
1.0,3.0,1.0,3.0,65556.2700421941,66368.41332833441,PAN-PRI-PRD
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,1.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
1.0,2.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
1.0,3.0,2.0,3.0,68800.44444444444,69652.77815719323,PAN-PRI-PRD
1.0,7.0,2.0,4.0,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde
1.0,70.0,2.0,4.0,80004.42352941177,80995.5576404452,Ninguno
1.0,1.0,1.0,5.0,108310.66666666667,109652.47242672743,PAN-PRI-PRD
1.0,7.0,1.0,3.0,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde
1.0,70.0,1.0,3.0,65556.2700421941,66368.41332833441,Ninguno
1.0,7.0,2.0,4.0,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde
1.0,70.0,2.0,4.0,80004.42352941177,80995.5576404452,Ninguno
1.0,1.0,1.0,5.0,108310.66666666667,109652.47242672743,PAN-PRI-PRD
1.0,7.0,1.0,4.0,92169.29629629629,93311.13482870723,MORENA-PT-Partido Verde
1.0,70.0,1.0,5.0,108310.66666666667,109652.47242672743,Ninguno
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,4.0,2.0,2.0,148568.65384615384,150409.19533325185,MORENA-PT-Partido Verde
1.0,3.0,2.0,4.0,80004.42352941177,80995.5576404452,PAN-PRI-PRD
1.0,7.0,1.0,4.0,92169.29629629629,93311.13482870723,MORENA-PT-Partido Verde
1.0,70.0,1.0,4.0,92169.29629629629,93311.13482870723,Ninguno
1.0,1.0,1.0,3.0,65556.2700421941,66368.41332833441,PAN-PRI-PRD
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,70.0,1.0,4.0,92169.29629629629,93311.13482870723,Ninguno
1.0,3.0,1.0,5.0,108310.66666666667,109652.47242672743,PAN-PRI-PRD
1.0,7.0,2.0,5.0,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde
1.0,7.0,1.0,5.0,108310.66666666667,109652.47242672743,MORENA-PT-Partido Verde
1.0,7.0,1.0,2.0,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde
1.0,70.0,1.0,5.0,108310.66666666667,109652.47242672743,Ninguno
1.0,1.0,2.0,2.0,148568.65384615384,150409.19533325185,PAN-PRI-PRD
1.0,7.0,2.0,2.0,148568.65384615384,150409.19533325185,MORENA-PT-Partido Verde
1.0,3.0,2.0,3.0,68800.44444444444,69652.77815719323,PAN-PRI-PRD
1.0,7.0,1.0,3.0,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde
1.0,7.0,1.0,2.0,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde
1.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
1.0,7.0,1.0,5.0,108310.66666666667,109652.47242672743,MORENA-PT-Partido Verde
1.0,7.0,1.0,3.0,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde
2.0,7.0,2.0,4.0,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde
2.0,1.0,2.0,5.0,145739.8260869565,147545.3226657521,PAN-PRI-PRD
2.0,70.0,1.0,3.0,65556.2700421941,66368.41332833441,Ninguno
2.0,7.0,2.0,5.0,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde
2.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
2.0,70.0,1.0,3.0,65556.2700421941,66368.41332833441,Ninguno
2.0,1.0,2.0,3.0,68800.44444444444,69652.77815719323,PAN-PRI-PRD
2.0,7.0,1.0,2.0,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde
2.0,7.0,2.0,5.0,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde
2.0,7.0,1.0,3.0,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde
3.0,7.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
3.0,70.0,2.0,3.0,68800.44444444444,69652.77815719323,Ninguno
3.0,5.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
3.0,7.0,1.0,3.0,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde
3.0,1.0,1.0,3.0,65556.2700421941,66368.41332833441,PAN-PRI-PRD
3.0,5.0,2.0,3.0,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde
3.0,4.0,2.0,2.0,148568.65384615384,150409.19533325185,MORENA-PT-Partido Verde
3.0,2.0,1.0,3.0,65556.2700421941,66368.41332833441,PAN-PRI-PRD
