estado,voto,genero,edad,ponderado,homo_pon,partido
21,7,1,34,52071.20546558153,53061.8890200955,MORENA-PT-Partido Verde
21,7,1,51,29188.298519168562,29743.62208175246,MORENA-PT-Partido Verde
21,5,2,84,186251.43295492473,189794.9697327523,MORENA-PT-Partido Verde
21,7,2,54,38119.51859592837,38844.7635723278,MORENA-PT-Partido Verde
21,7,1,78,30859.165473183293,31446.278205968316,MORENA-PT-Partido Verde
21,7,1,44,25832.00321450843,26323.4713980457,MORENA-PT-Partido Verde
21,7,2,44,21022.40207755932,21422.364932814984,MORENA-PT-Partido Verde
21,99,2,29,53273.288625982146,54286.84247910969,
21,1,2,24,144169.63483190985,146912.54206847583,PAN-PRI-PRD
21,1,1,44,58355.08502917287,59465.32287643912,PAN-PRI-PRD
29,7,2,18,21929.43735355012,22346.657057831148,MORENA-PT-Partido Verde
29,3,2,60,75653.45494295766,77092.80386879905,PAN-PRI-PRD
29,7,2,50,56925.55501843168,58008.595264650234,MORENA-PT-Partido Verde
29,7,1,47,48208.34527465004,49125.53577229457,MORENA-PT-Partido Verde
29,7,2,44,31393.678361235103,31990.960498072403,MORENA-PT-Partido Verde
29,7,2,34,59464.993567836,60596.34804043167,MORENA-PT-Partido Verde
29,99,1,75,57530.62087620833,58625.1728358458,
29,7,1,42,38576.06744228063,39309.998513612365,MORENA-PT-Partido Verde
29,7,1,34,77760.22312946085,79239.65448813398,MORENA-PT-Partido Verde
29,7,1,24,69716.0654499911,71042.45224878295,MORENA-PT-Partido Verde
29,7,1,68,46083.35012274309,46960.11140943325,MORENA-PT-Partido Verde
22,7,2,54,43805.70079382834,44639.128539208476,MORENA-PT-Partido Verde
22,7,1,60,45839.927844882215,46712.05788777222,MORENA-PT-Partido Verde
22,7,2,36,28773.95105639586,29321.39142876833,MORENA-PT-Partido Verde
22,95,1,43,59733.03763596203,60869.49179556904,Ninguno
22,95,1,34,40523.80730968246,41294.79521190285,Ninguno
22,2,2,55,72427.33724879062,73805.30749680112,PAN-PRI-PRD
22,95,2,34,41225.20540460867,42009.5377944705,Ninguno
22,7,1,24,30762.856818384073,31348.13722561385,MORENA-PT-Partido Verde
22,1,1,45,75622.23107632688,77060.98595079377,PAN-PRI-PRD
22,1,2,22,50897.15800113095,51865.50465169099,PAN-PRI-PRD
22,7,1,24,56898.32376518798,57980.84592171539,MORENA-PT-Partido Verde
22,1,1,52,99809.88201948583,101708.82036382744,PAN-PRI-PRD
22,5,2,50,97363.04681505695,99215.43276300291,MORENA-PT-Partido Verde
22,1,1,27,264133.90566703415,269159.1996696252,PAN-PRI-PRD
22,1,1,71,140079.4030574489,142744.4913667041,PAN-PRI-PRD
22,1,1,37,109781.24073738302,111869.88970988574,PAN-PRI-PRD
22,6,2,40,166783.04865254922,169956.18862490877,Movimiento Ciudadano
22,2,2,75,187618.66783281346,191188.2170122471,PAN-PRI-PRD
22,7,2,27,111455.90348965429,113576.41384952451,MORENA-PT-Partido Verde
22,7,2,21,41672.1320645605,42464.96748192341,MORENA-PT-Partido Verde
4,2,1,20,126246.43507320494,128648.34349696344,PAN-PRI-PRD
4,7,2,61,125573.8960664153,127963.00906268487,MORENA-PT-Partido Verde
4,2,2,31,108621.14683261358,110687.72437537175,PAN-PRI-PRD
4,7,1,33,102137.79482500335,104081.02300116561,MORENA-PT-Partido Verde
4,1,1,64,168056.0799387869,171253.44003719077,PAN-PRI-PRD
4,7,2,37,61986.84652970434,63166.18065312405,MORENA-PT-Partido Verde
4,7,1,50,60526.36551572909,61677.91317810401,MORENA-PT-Partido Verde
