estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
1.0,2.0,1.0,25.0,96355.29767701773,MORENA-PT-Partido Verde,3,103319.20622531664
21.0,2.0,1.0,20.0,120360.25568040722,MORENA-PT-Partido Verde,3,129059.08006905469
2.0,2.0,1.0,25.0,110861.5137478184,MORENA-PT-Partido Verde,3,118873.83338024406
14.0,8.0,1.0,21.0,210590.2558361956,Ninguno,3,225810.29373926905
29.0,2.0,1.0,29.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
29.0,2.0,1.0,25.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
1.0,2.0,1.0,22.0,119645.37201807236,MORENA-PT-Partido Verde,3,128292.52945568347
3.0,2.0,1.0,27.0,47391.33999913247,MORENA-PT-Partido Verde,3,50816.46519402889
3.0,9.0,1.0,18.0,68549.4974444897,NS,3,73503.79100949349
1.0,2.0,1.0,29.0,35118.63490432613,MORENA-PT-Partido Verde,3,37656.77206658781
18.0,2.0,1.0,18.0,29668.88459907168,MORENA-PT-Partido Verde,3,31813.150706478962
19.0,2.0,1.0,20.0,42098.965199125574,MORENA-PT-Partido Verde,3,45141.593375185425
13.0,2.0,1.0,19.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
1.0,2.0,1.0,22.0,22866.087863261313,MORENA-PT-Partido Verde,3,24518.69388053378
32.0,1.0,1.0,18.0,39431.821757944606,PAN-PRI-PRD,3,42281.68686381149
32.0,2.0,1.0,21.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
1.0,2.0,1.0,24.0,37315.081684527446,MORENA-PT-Partido Verde,3,40011.96314915015
1.0,1.0,1.0,21.0,26815.452510499406,PAN-PRI-PRD,3,28753.491865536453
3.0,2.0,1.0,19.0,89847.06912667281,MORENA-PT-Partido Verde,3,96340.60697892601
3.0,2.0,1.0,29.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
27.0,2.0,1.0,18.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
29.0,2.0,1.0,25.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
4.0,1.0,1.0,18.0,31524.024581713562,PAN-PRI-PRD,3,33802.36764695159
31.0,2.0,1.0,18.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
15.0,2.0,1.0,29.0,34278.27491008143,MORENA-PT-Partido Verde,3,36755.67654156632
15.0,2.0,1.0,18.0,56732.488248500485,MORENA-PT-Partido Verde,3,60832.72839517415
2.0,9.0,1.0,18.0,68549.4974444897,NS,3,73503.79100949349
9.0,2.0,1.0,26.0,32045.596473920457,MORENA-PT-Partido Verde,3,34361.63522425582
12.0,1.0,1.0,22.0,53545.00281867486,PAN-PRI-PRD,3,57414.873099160715
30.0,2.0,1.0,18.0,52807.456382719596,MORENA-PT-Partido Verde,3,56624.02180032876
19.0,2.0,1.0,25.0,39432.553160673444,MORENA-PT-Partido Verde,3,42282.47112737765
19.0,9.0,1.0,26.0,49752.590500665545,NS,3,53348.37089510709
19.0,2.0,1.0,18.0,206483.15888669097,MORENA-PT-Partido Verde,3,221406.36362910917
21.0,2.0,1.0,29.0,28125.453077093865,MORENA-PT-Partido Verde,3,30158.170403803655
21.0,1.0,1.0,18.0,50933.150530891144,PAN-PRI-PRD,3,54614.253811406124
2.0,9.0,1.0,20.0,33700.904486829604,NS,3,36136.577693173866
2.0,2.0,1.0,23.0,60562.06230275593,MORENA-PT-Partido Verde,3,64939.07813416844
2.0,2.0,1.0,27.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
14.0,2.0,1.0,18.0,45223.09735893498,MORENA-PT-Partido Verde,3,48491.516655755404
14.0,2.0,1.0,24.0,50644.81736858345,MORENA-PT-Partido Verde,3,54305.08188026931
23.0,2.0,1.0,26.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
23.0,2.0,1.0,28.0,68965.6457007371,MORENA-PT-Partido Verde,3,73950.01564419553
15.0,2.0,1.0,18.0,65769.82651872934,MORENA-PT-Partido Verde,3,70523.2242888154
2.0,1.0,1.0,29.0,159394.88653734355,PAN-PRI-PRD,3,170914.86976269033
2.0,8.0,1.0,18.0,120105.9934544248,Ninguno,3,128786.4414908455
17.0,2.0,1.0,20.0,48026.829712221996,MORENA-PT-Partido Verde,3,51497.88380103533
17.0,2.0,1.0,27.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
17.0,2.0,1.0,18.0,45223.09735893498,MORENA-PT-Partido Verde,3,48491.516655755404
27.0,2.0,1.0,24.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
27.0,2.0,1.0,29.0,30621.906031863517,MORENA-PT-Partido Verde,3,32835.05007605823
27.0,2.0,1.0,28.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
7.0,2.0,1.0,25.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
28.0,2.0,1.0,21.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
2.0,2.0,1.0,21.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
31.0,2.0,1.0,18.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
31.0,2.0,1.0,21.0,174940.91641793627,MORENA-PT-Partido Verde,3,187584.46142958422
31.0,1.0,1.0,19.0,35184.87730689268,PAN-PRI-PRD,3,37727.80202152164
8.0,2.0,1.0,20.0,27144.458349879027,MORENA-PT-Partido Verde,3,29106.27601947202
16.0,1.0,1.0,22.0,28139.736883380556,PAN-PRI-PRD,3,30173.48654690109
16.0,2.0,1.0,25.0,86817.83385862612,MORENA-PT-Partido Verde,3,93092.43909496162
21.0,1.0,1.0,24.0,26451.880609960896,PAN-PRI-PRD,3,28363.643449568888
2.0,8.0,1.0,18.0,189751.9152328709,Ninguno,3,203465.89896187824
2.0,2.0,1.0,22.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
26.0,9.0,1.0,26.0,31527.820008597442,NS,3,33806.43738159393
8.0,9.0,1.0,24.0,18983.684705721913,NS,3,20355.696908346446
2.0,9.0,1.0,18.0,68549.4974444897,NS,3,73503.79100949349
26.0,3.0,1.0,29.0,223408.85735323193,Movimiento Ciudadano,3,239555.33698637973
14.0,1.0,1.0,20.0,25946.528188581186,PAN-PRI-PRD,3,27821.767576630275
19.0,1.0,1.0,22.0,255904.93111448712,PAN-PRI-PRD,3,274400.00694636925
25.0,2.0,1.0,22.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
5.0,2.0,1.0,19.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
5.0,2.0,1.0,24.0,62795.556659892645,MORENA-PT-Partido Verde,3,67333.99434169868
5.0,2.0,1.0,23.0,54963.29191022291,MORENA-PT-Partido Verde,3,58935.66652380416
2.0,2.0,1.0,19.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
2.0,8.0,1.0,22.0,73735.47280158615,Ninguno,3,79064.57355406405
14.0,2.0,1.0,28.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
5.0,2.0,1.0,24.0,62795.556659892645,MORENA-PT-Partido Verde,3,67333.99434169868
5.0,2.0,1.0,19.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
2.0,1.0,1.0,29.0,26278.770163385674,PAN-PRI-PRD,3,28178.02175194916
2.0,2.0,1.0,20.0,31517.237688054476,MORENA-PT-Partido Verde,3,33795.090242569095
20.0,2.0,1.0,24.0,42175.770234401156,MORENA-PT-Partido Verde,3,45223.94935840681
32.0,2.0,1.0,29.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
32.0,2.0,1.0,29.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
20.0,2.0,1.0,29.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
32.0,2.0,1.0,25.0,32529.631764374037,MORENA-PT-Partido Verde,3,34880.65330837132
30.0,2.0,1.0,18.0,100308.72551668891,MORENA-PT-Partido Verde,3,107558.36106279185
30.0,1.0,1.0,28.0,172818.7076796422,PAN-PRI-PRD,3,185308.8738119739
7.0,2.0,1.0,19.0,72195.5066655953,MORENA-PT-Partido Verde,3,77413.30909201266
14.0,2.0,1.0,24.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
19.0,3.0,1.0,18.0,33055.80027137847,Movimiento Ciudadano,3,35444.84971266954
15.0,2.0,1.0,29.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
9.0,2.0,1.0,22.0,35489.569590897474,MORENA-PT-Partido Verde,3,38054.515400913355
16.0,1.0,1.0,23.0,50733.88425494732,PAN-PRI-PRD,3,54400.585918157514
25.0,2.0,1.0,20.0,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034
12.0,2.0,1.0,19.0,26223.89966596239,MORENA-PT-Partido Verde,3,28119.185586469554
12.0,2.0,1.0,25.0,32529.631764374037,MORENA-PT-Partido Verde,3,34880.65330837132
20.0,3.0,1.0,23.0,54782.118540988406,Movimiento Ciudadano,3,58741.39917006487
14.0,2.0,1.0,18.0,38828.896890568874,MORENA-PT-Partido Verde,3,41635.1866690887
25.0,2.0,1.0,19.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
25.0,2.0,1.0,19.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
15.0,2.0,1.0,20.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
14.0,2.0,1.0,20.0,17897.82583719831,MORENA-PT-Partido Verde,3,19191.359512548664
9.0,2.0,1.0,18.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
9.0,2.0,1.0,18.0,46156.167931252654,MORENA-PT-Partido Verde,3,49492.02325174154
9.0,2.0,1.0,26.0,32529.631764374037,MORENA-PT-Partido Verde,3,34880.65330837132
25.0,9.0,1.0,23.0,36095.09617186896,NS,3,38703.80534347586
25.0,2.0,1.0,21.0,62624.59790467197,MORENA-PT-Partido Verde,3,67150.6798451167
25.0,2.0,1.0,25.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
25.0,2.0,1.0,21.0,40633.07251152616,MORENA-PT-Partido Verde,3,43569.75588886534
25.0,2.0,1.0,29.0,37306.50405355264,MORENA-PT-Partido Verde,3,40002.76558508283
25.0,2.0,1.0,29.0,30621.906031863517,MORENA-PT-Partido Verde,3,32835.05007605823
14.0,2.0,1.0,23.0,62286.09550018669,MORENA-PT-Partido Verde,3,66787.71277864557
14.0,2.0,1.0,21.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
9.0,2.0,1.0,27.0,26773.75803377849,MORENA-PT-Partido Verde,3,28708.783994328114
15.0,2.0,1.0,29.0,54963.29191022291,MORENA-PT-Partido Verde,3,58935.66652380416
15.0,2.0,1.0,18.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
30.0,2.0,1.0,26.0,35118.63490432613,MORENA-PT-Partido Verde,3,37656.77206658781
15.0,2.0,1.0,29.0,34985.52521924438,MORENA-PT-Partido Verde,3,37514.042114679534
15.0,2.0,1.0,27.0,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391
15.0,2.0,1.0,19.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
15.0,2.0,1.0,19.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
15.0,2.0,1.0,18.0,83412.5616460551,MORENA-PT-Partido Verde,3,89441.05686205837
15.0,8.0,1.0,19.0,91570.30661066332,Ninguno,3,98188.38840118273
15.0,3.0,1.0,28.0,210790.04336384498,Movimiento Ciudadano,3,226024.52055676735
15.0,2.0,1.0,22.0,23337.87495736279,MORENA-PT-Partido Verde,3,25024.578551590534
15.0,2.0,1.0,26.0,88609.11244538234,MORENA-PT-Partido Verde,3,95013.17917022374
15.0,2.0,1.0,20.0,59337.76919814336,MORENA-PT-Partido Verde,3,63626.301412957924
15.0,2.0,1.0,20.0,45223.09735893498,MORENA-PT-Partido Verde,3,48491.516655755404
15.0,2.0,1.0,18.0,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819
1.0,2.0,1.0,27.0,43695.89868238415,MORENA-PT-Partido Verde,3,46853.942398671024
17.0,2.0,1.0,25.0,35225.63277570966,MORENA-PT-Partido Verde,3,37771.50301969223
17.0,1.0,1.0,26.0,96967.94087760102,PAN-PRI-PRD,3,103976.12712857385
17.0,3.0,1.0,22.0,450914.3125035309,Movimiento Ciudadano,3,483503.3461228275
17.0,1.0,1.0,20.0,242351.1438351554,PAN-PRI-PRD,3,259866.64368759582
