"estado","columnas","total","digitos","min","max","genero"
1,"LISTA_18_HOMBRES",10375,"18","18","18",1
1,"LISTA_18_MUJERES",10650,"18","18","18",2
1,"LISTA_18_NOBINARIO",0,"18","18","18",9
1,"LISTA_19_HOMBRES",12829,"19","19","19",1
1,"LISTA_19_MUJERES",13040,"19","19","19",2
1,"LISTA_19_NOBINARIO",0,"19","19","19",9
1,"LISTA_20_24_HOMBRES",69434,"2024","20","24",1
1,"LISTA_20_24_MUJERES",68936,"2024","20","24",2
1,"LISTA_20_24_NOBINARIO",2,"2024","20","24",9
1,"LISTA_25_29_HOMBRES",66303,"2529","25","29",1
1,"LISTA_25_29_MUJERES",66157,"2529","25","29",2
1,"LISTA_25_29_NOBINARIO",0,"2529","25","29",9
1,"LISTA_30_34_HOMBRES",62079,"3034","30","34",1
1,"LISTA_30_34_MUJERES",63716,"3034","30","34",2
1,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
1,"LISTA_35_39_HOMBRES",53549,"3539","35","39",1
1,"LISTA_35_39_MUJERES",56242,"3539","35","39",2
1,"LISTA_35_39_NOBINARIO",1,"3539","35","39",9
1,"LISTA_40_44_HOMBRES",49631,"4044","40","44",1
1,"LISTA_40_44_MUJERES",52946,"4044","40","44",2
1,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
1,"LISTA_45_49_HOMBRES",45441,"4549","45","49",1
1,"LISTA_45_49_MUJERES",49623,"4549","45","49",2
1,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
1,"LISTA_50_54_HOMBRES",41427,"5054","50","54",1
1,"LISTA_50_54_MUJERES",46527,"5054","50","54",2
1,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
1,"LISTA_55_59_HOMBRES",34550,"5559","55","59",1
1,"LISTA_55_59_MUJERES",39412,"5559","55","59",2
1,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
1,"LISTA_60_64_HOMBRES",28126,"6064","60","64",1
1,"LISTA_60_64_MUJERES",32494,"6064","60","64",2
1,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
1,"LISTA_65_Y_MAS_HOMBRES",56142,"65","65","100",1
1,"LISTA_65_Y_MAS_MUJERES",68713,"65","65","100",2
1,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
10,"LISTA_18_HOMBRES",10919,"18","18","18",1
10,"LISTA_18_MUJERES",10769,"18","18","18",2
10,"LISTA_18_NOBINARIO",0,"18","18","18",9
10,"LISTA_19_HOMBRES",14953,"19","19","19",1
10,"LISTA_19_MUJERES",14999,"19","19","19",2
10,"LISTA_19_NOBINARIO",0,"19","19","19",9
10,"LISTA_20_24_HOMBRES",81850,"2024","20","24",1
10,"LISTA_20_24_MUJERES",82163,"2024","20","24",2
10,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
10,"LISTA_25_29_HOMBRES",80650,"2529","25","29",1
10,"LISTA_25_29_MUJERES",79979,"2529","25","29",2
10,"LISTA_25_29_NOBINARIO",0,"2529","25","29",9
10,"LISTA_30_34_HOMBRES",73187,"3034","30","34",1
10,"LISTA_30_34_MUJERES",76163,"3034","30","34",2
10,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
10,"LISTA_35_39_HOMBRES",66135,"3539","35","39",1
10,"LISTA_35_39_MUJERES",69204,"3539","35","39",2
10,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
10,"LISTA_40_44_HOMBRES",60850,"4044","40","44",1
10,"LISTA_40_44_MUJERES",63539,"4044","40","44",2
10,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
10,"LISTA_45_49_HOMBRES",60134,"4549","45","49",1
10,"LISTA_45_49_MUJERES",63313,"4549","45","49",2
10,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
10,"LISTA_50_54_HOMBRES",56552,"5054","50","54",1
10,"LISTA_50_54_MUJERES",60178,"5054","50","54",2
10,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
10,"LISTA_55_59_HOMBRES",49115,"5559","55","59",1
10,"LISTA_55_59_MUJERES",53618,"5559","55","59",2
10,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
10,"LISTA_60_64_HOMBRES",41900,"6064","60","64",1
10,"LISTA_60_64_MUJERES",45946,"6064","60","64",2
10,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
10,"LISTA_65_Y_MAS_HOMBRES",95113,"65","65","100",1
10,"LISTA_65_Y_MAS_MUJERES",105643,"65","65","100",2
10,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
11,"LISTA_18_HOMBRES",36651,"18","18","18",1
11,"LISTA_18_MUJERES",37858,"18","18","18",2
11,"LISTA_18_NOBINARIO",0,"18","18","18",9
11,"LISTA_19_HOMBRES",52301,"19","19","19",1
11,"LISTA_19_MUJERES",54265,"19","19","19",2
11,"LISTA_19_NOBINARIO",1,"19","19","19",9
11,"LISTA_20_24_HOMBRES",288744,"2024","20","24",1
11,"LISTA_20_24_MUJERES",294619,"2024","20","24",2
11,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
11,"LISTA_25_29_HOMBRES",287652,"2529","25","29",1
11,"LISTA_25_29_MUJERES",290211,"2529","25","29",2
11,"LISTA_25_29_NOBINARIO",1,"2529","25","29",9
11,"LISTA_30_34_HOMBRES",262030,"3034","30","34",1
11,"LISTA_30_34_MUJERES",281323,"3034","30","34",2
11,"LISTA_30_34_NOBINARIO",1,"3034","30","34",9
11,"LISTA_35_39_HOMBRES",235838,"3539","35","39",1
11,"LISTA_35_39_MUJERES",258062,"3539","35","39",2
11,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
11,"LISTA_40_44_HOMBRES",217885,"4044","40","44",1
11,"LISTA_40_44_MUJERES",240906,"4044","40","44",2
11,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
11,"LISTA_45_49_HOMBRES",204692,"4549","45","49",1
11,"LISTA_45_49_MUJERES",228349,"4549","45","49",2
11,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
11,"LISTA_50_54_HOMBRES",185561,"5054","50","54",1
11,"LISTA_50_54_MUJERES",208790,"5054","50","54",2
11,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
11,"LISTA_55_59_HOMBRES",154592,"5559","55","59",1
11,"LISTA_55_59_MUJERES",177326,"5559","55","59",2
11,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
11,"LISTA_60_64_HOMBRES",127134,"6064","60","64",1
11,"LISTA_60_64_MUJERES",146624,"6064","60","64",2
11,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
11,"LISTA_65_Y_MAS_HOMBRES",279356,"65","65","100",1
11,"LISTA_65_Y_MAS_MUJERES",331836,"65","65","100",2
11,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
12,"LISTA_18_HOMBRES",16186,"18","18","18",1
12,"LISTA_18_MUJERES",17732,"18","18","18",2
12,"LISTA_18_NOBINARIO",0,"18","18","18",9
12,"LISTA_19_HOMBRES",27747,"19","19","19",1
12,"LISTA_19_MUJERES",30008,"19","19","19",2
12,"LISTA_19_NOBINARIO",0,"19","19","19",9
