estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon,N_estado,rango_edad,total
8,7,Hombres,36,79203.88546794432,MORENA-PT-Partido Verde,1,84282.15941868072,COAHUILA DE ZARAGOZA,35-39,-84282.15941868072
8,7,Mujeres,47,49586.577424869254,MORENA-PT-Partido Verde,1,52765.89398181775,COAHUILA DE ZARAGOZA,45-49,52765.89398181775
8,7,Hombres,27,101306.70300485914,MORENA-PT-Partido Verde,1,107802.13170592683,COAHUILA DE ZARAGOZA,25-29,-107802.13170592683
8,98,Mujeres,29,84294.86012811598,NS,1,89699.5494289058,COAHUILA DE ZARAGOZA,25-29,89699.5494289058
8,1,Hombres,38,79203.88546794432,PAN-PRI-PRD,1,84282.15941868072,COAHUILA DE ZARAGOZA,35-39,-84282.15941868072
8,7,Hombres,21,73284.06203320014,MORENA-PT-Partido Verde,1,77982.77777206337,COAHUILA DE ZARAGOZA,20-24,-77982.77777206337
8,7,Hombres,62,44178.093512652755,MORENA-PT-Partido Verde,1,47010.637145493856,COAHUILA DE ZARAGOZA,60-64,-47010.637145493856
8,98,Hombres,21,118080.4498475154,NS,1,125651.35207041918,COAHUILA DE ZARAGOZA,20-24,-125651.35207041918
8,99,Mujeres,28,85196.5582168885,NR,1,90659.06122073832,COAHUILA DE ZARAGOZA,25-29,90659.06122073832
8,7,Mujeres,42,68547.68325932708,MORENA-PT-Partido Verde,1,72942.71908645272,COAHUILA DE ZARAGOZA,40-44,72942.71908645272
14,7,Mujeres,18,61630.175222286474,MORENA-PT-Partido Verde,1,65581.68481757428,JALISCO,18-18,65581.68481757428
14,97,Mujeres,64,59851.66091051632,Ninguno,1,63689.13843721161,JALISCO,60-64,63689.13843721161
14,1,Hombres,49,103043.63421367088,PAN-PRI-PRD,1,109650.42882134554,JALISCO,45-49,-109650.42882134554
14,7,Hombres,44,74540.5373766713,MORENA-PT-Partido Verde,1,79319.81388561285,JALISCO,40-44,-79319.81388561285
14,4,Mujeres,45,162469.01963336894,MORENA-PT-Partido Verde,1,172885.96048584444,JALISCO,45-49,172885.96048584444
14,1,Hombres,19,118080.4498475154,PAN-PRI-PRD,1,125651.35207041918,JALISCO,19-19,-125651.35207041918
14,96,Hombres,37,185739.0883468307,Ninguno,1,197648.02398063857,JALISCO,35-39,-197648.02398063857
14,6,Hombres,29,118080.4498475154,Movimiento Ciudadano,1,125651.35207041918,JALISCO,25-29,-125651.35207041918
14,6,Mujeres,41,162469.01963336894,Movimiento Ciudadano,1,172885.96048584444,JALISCO,40-44,172885.96048584444
14,98,Hombres,65,52043.64953013092,NS,1,55380.50488954488,JALISCO,65-100,-55380.50488954488
14,97,Mujeres,33,72365.84550194349,Ninguno,1,77005.68843344045,JALISCO,30-34,77005.68843344045
14,6,Hombres,63,89834.86744307537,Movimiento Ciudadano,1,95594.76248495012,JALISCO,60-64,-95594.76248495012
14,7,Mujeres,35,71599.9443206376,MORENA-PT-Partido Verde,1,76190.68036811131,JALISCO,35-39,76190.68036811131
14,7,Hombres,37,56688.75029786361,MORENA-PT-Partido Verde,1,60323.43314500694,JALISCO,35-39,-60323.43314500694
14,7,Hombres,35,79203.88546794432,MORENA-PT-Partido Verde,1,84282.15941868072,JALISCO,35-39,-84282.15941868072
14,98,Mujeres,20,99302.88540954396,NS,1,105669.83638964892,JALISCO,20-24,105669.83638964892
14,7,Hombres,26,85417.99066462996,MORENA-PT-Partido Verde,1,90894.6911365026,JALISCO,25-29,-90894.6911365026
14,7,Mujeres,21,85196.5582168885,MORENA-PT-Partido Verde,1,90659.06122073832,JALISCO,20-24,90659.06122073832
14,4,Hombres,49,103043.63421367088,MORENA-PT-Partido Verde,1,109650.42882134554,JALISCO,45-49,-109650.42882134554
14,98,Hombres,58,47861.56287872524,NS,1,50930.27758347205,JALISCO,55-59,-50930.27758347205
25,7,Hombres,60,46662.678858350475,MORENA-PT-Partido Verde,1,49654.52534565248,SINALOA,60-64,-49654.52534565248
25,99,Mujeres,23,84294.86012811598,NR,1,89699.5494289058,SINALOA,20-24,89699.5494289058
25,7,Mujeres,48,72402.81949916674,MORENA-PT-Partido Verde,1,77045.03307303615,SINALOA,45-49,77045.03307303615
