estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,56,21859.880250123308,26961.27559930468,MORENA-PT-Partido Verde,55-59,-26961.27559930468
NA,NA,Hombres,48,49510.56251512417,61064.74078417408,PAN-PRI-PRD,45-49,-61064.74078417408
NA,NA,Hombres,41,34649.44663979798,42735.51682487946,PAN-PRI-PRD,40-44,-42735.51682487946
NA,NA,Hombres,65,71047.25985316373,87627.41293908769,PAN-PRI-PRD,65-100,-87627.41293908769
NA,NA,Hombres,54,21544.64445882851,26572.473878956007,MORENA-PT-Partido Verde,50-54,-26572.473878956007
NA,NA,Hombres,29,21544.64445882851,26572.473878956007,Movimiento Ciudadano,25-29,-26572.473878956007
NA,NA,Hombres,21,25303.632591999256,31208.68935101289,Movimiento Ciudadano,20-24,-31208.68935101289
NA,NA,Hombres,30,21859.880250123308,26961.27559930468,MORENA-PT-Partido Verde,30-34,-26961.27559930468
NA,NA,Hombres,60,51974.16995969696,64103.275237319176,MORENA-PT-Partido Verde,60-64,-64103.275237319176
NA,NA,Hombres,66,2304.665028793902,2842.499972297028,MORENA-PT-Partido Verde,65-100,-2842.499972297028
NA,NA,Hombres,55,317.8848315577796,392.0689616961418,MORENA-PT-Partido Verde,55-59,-392.0689616961418
NA,NA,Hombres,45,9510.054544103572,11729.396437409574,PAN-PRI-PRD,45-49,-11729.396437409574
NA,NA,Hombres,52,9510.054544103572,11729.396437409574,PAN-PRI-PRD,50-54,-11729.396437409574
NA,NA,Mujeres,62,14988.269807949308,18486.051543973084,Movimiento Ciudadano,60-64,18486.051543973084
NA,NA,Hombres,60,34967.33147135575,43127.58578657559,PAN-PRI-PRD,60-64,-43127.58578657559
NA,NA,Mujeres,35,95.36544946733387,117.62068850884252,PAN-PRI-PRD,35-39,117.62068850884252
NA,NA,Hombres,37,38479.95886006922,47459.947813317965,MORENA-PT-Partido Verde,35-39,-47459.947813317965
NA,NA,Hombres,55,21859.880250123308,26961.27559930468,MORENA-PT-Partido Verde,55-59,-26961.27559930468
NA,NA,Hombres,66,2304.665028793902,2842.499972297028,MORENA-PT-Partido Verde,65-100,-2842.499972297028
NA,NA,Hombres,55,317.8848315577796,392.0689616961418,MORENA-PT-Partido Verde,55-59,-392.0689616961418
NA,NA,Mujeres,31,61971.64791218913,76433.84408266284,MORENA-PT-Partido Verde,30-34,76433.84408266284
NA,NA,Hombres,53,381.4617978693355,470.48275403537014,MORENA-PT-Partido Verde,50-54,-470.48275403537014
NA,NA,Hombres,58,60874.94524331479,75081.20616481116,PAN-PRI-PRD,55-59,-75081.20616481116
NA,NA,Mujeres,36,17896.91601670299,22073.482543492784,PAN-PRI-PRD,35-39,22073.482543492784
NA,NA,Mujeres,55,27648.03322473788,34100.19794352193,MORENA-PT-Partido Verde,55-59,34100.19794352193
