N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon,estado,rango_edad,total
MORELOS,6,Mujeres,57,69470.91978886483,Movimiento Ciudadano,5,70243.94293818758,17,55-59,70243.94293818758
MORELOS,4,Hombres,67,81840.35793983728,MORENA-PT-Partido Verde,5,82751.01942853826,17,65-100,-82751.01942853826
MORELOS,7,Mujeres,24,88730.00956167355,MORENA-PT-Partido Verde,5,89717.33420973149,17,20-24,89717.33420973149
QUINTANA ROO,99,Hombres,35,153249.0990040762,NS,5,154954.34634358235,23,35-39,-154954.34634358235
MORELOS,99,Mujeres,47,69470.91978886483,NS,5,70243.94293818758,17,45-49,70243.94293818758
MORELOS,99,Mujeres,52,69470.91978886483,NS,5,70243.94293818758,17,50-54,70243.94293818758
MORELOS,7,Mujeres,19,88730.00956167355,MORENA-PT-Partido Verde,5,89717.33420973149,17,19-19,89717.33420973149
MORELOS,7,Mujeres,31,71161.01163872491,MORENA-PT-Partido Verde,5,71952.84093209174,17,30-34,71952.84093209174
MORELOS,6,Mujeres,32,71161.01163872491,Movimiento Ciudadano,5,71952.84093209174,17,30-34,71952.84093209174
QUINTANA ROO,5,Mujeres,31,134159.31491807682,MORENA-PT-Partido Verde,5,135652.14467251426,23,30-34,135652.14467251426
MORELOS,2,Mujeres,22,88730.00956167355,PAN-PRI-PRD,5,89717.33420973149,17,20-24,89717.33420973149
MORELOS,7,Mujeres,51,69470.91978886483,MORENA-PT-Partido Verde,5,70243.94293818758,17,50-54,70243.94293818758
MICHOACAN  DE OCAMPO,2,Mujeres,53,51728.67595552939,PAN-PRI-PRD,5,52304.275992479656,16,50-54,52304.275992479656
QUINTANA ROO,7,Hombres,69,154293.0054114601,MORENA-PT-Partido Verde,5,156009.8686014701,23,65-100,-156009.8686014701
MICHOACAN  DE OCAMPO,1,Hombres,47,62170.113127750185,PAN-PRI-PRD,5,62861.898075895755,16,45-49,-62861.898075895755
CIUDAD DE MEXICO,6,Hombres,54,65971.57892277873,Movimiento Ciudadano,5,66705.66388753337,7,50-54,-66705.66388753337
MEXICO,7,Hombres,45,65409.36757922481,MORENA-PT-Partido Verde,5,66137.19665468505,15,45-49,-66137.19665468505
MEXICO,99,Mujeres,51,60767.29086686028,NS,5,61443.46620331008,15,50-54,61443.46620331008
QUINTANA ROO,3,Mujeres,39,130453.82953699482,PAN-PRI-PRD,5,131905.42727683164,23,35-39,131905.42727683164
CIUDAD DE MEXICO,99,Hombres,60,65971.57892277873,NS,5,66705.66388753337,7,60-64,-66705.66388753337
MEXICO,7,Hombres,65,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401,15,65-100,-72383.59996421401
CIUDAD DE MEXICO,2,Hombres,44,59084.920860981234,PAN-PRI-PRD,5,59742.37597659296,7,40-44,-59742.37597659296
CIUDAD DE MEXICO,1,Mujeres,69,74794.00034921429,PAN-PRI-PRD,5,75626.25496562234,7,65-100,75626.25496562234
CIUDAD DE MEXICO,1,Mujeres,49,54891.68760813785,PAN-PRI-PRD,5,55502.48339658349,7,45-49,55502.48339658349
MICHOACAN  DE OCAMPO,7,Hombres,52,62170.113127750185,MORENA-PT-Partido Verde,5,62861.898075895755,16,50-54,-62861.898075895755
MEXICO,7,Mujeres,21,77613.51535348102,MORENA-PT-Partido Verde,5,78477.14353417735,15,20-24,78477.14353417735
CIUDAD DE MEXICO,7,Mujeres,26,56227.09520218627,MORENA-PT-Partido Verde,5,56852.75045970355,7,25-29,56852.75045970355
QUINTANA ROO,7,Mujeres,45,130453.82953699482,MORENA-PT-Partido Verde,5,131905.42727683164,23,45-49,131905.42727683164
CIUDAD DE MEXICO,99,Mujeres,34,56227.09520218627,NS,5,56852.75045970355,7,30-34,56852.75045970355
CIUDAD DE MEXICO,7,Mujeres,32,56227.09520218627,MORENA-PT-Partido Verde,5,56852.75045970355,7,30-34,56852.75045970355
CIUDAD DE MEXICO,4,Hombres,51,65971.57892277873,MORENA-PT-Partido Verde,5,66705.66388753337,7,50-54,-66705.66388753337
MEXICO,3,Mujeres,53,60767.29086686028,PAN-PRI-PRD,5,61443.46620331008,15,50-54,61443.46620331008
QUINTANA ROO,1,Mujeres,55,130972.99758637574,PAN-PRI-PRD,5,132430.37226024165,23,55-59,132430.37226024165
CIUDAD DE MEXICO,99,Mujeres,30,56227.09520218627,NS,5,56852.75045970355,7,30-34,56852.75045970355
MEXICO,1,Hombres,79,71587.03023786917,PAN-PRI-PRD,5,72383.59996421401,15,65-100,-72383.59996421401
MEXICO,99,Mujeres,59,60767.29086686028,NS,5,61443.46620331008,15,55-59,61443.46620331008
MEXICO,7,Hombres,38,65409.36757922481,MORENA-PT-Partido Verde,5,66137.19665468505,15,35-39,-66137.19665468505
GUERRERO,7,Mujeres,33,31332.031494050814,MORENA-PT-Partido Verde,5,31680.67213007264,12,30-34,31680.67213007264
GUERRERO,2,Mujeres,42,30466.639592402375,PAN-PRI-PRD,5,30805.65076079596,12,40-44,30805.65076079596
QUINTANA ROO,1,Hombres,75,154293.0054114601,PAN-PRI-PRD,5,156009.8686014701,23,65-100,-156009.8686014701
GUERRERO,99,Hombres,33,35790.32584776304,NS,5,36188.575222986656,12,30-34,-36188.575222986656
GUERRERO,2,Hombres,18,30472.879631323463,PAN-PRI-PRD,5,30811.960234446764,12,18-18,-30811.960234446764
QUINTANA ROO,5,Mujeres,19,167282.01330109462,MORENA-PT-Partido Verde,5,169143.40896333815,23,19-19,169143.40896333815
MICHOACAN  DE OCAMPO,7,Hombres,73,64324.41657177558,MORENA-PT-Partido Verde,5,65040.173081517845,16,65-100,-65040.173081517845
GUERRERO,1,Mujeres,55,30587.887898446876,PAN-PRI-PRD,5,30928.248232040427,12,55-59,30928.248232040427
MEXICO,1,Hombres,18,60538.81020668573,PAN-PRI-PRD,5,61212.44317231297,15,18-18,-61212.44317231297
MEXICO,7,Hombres,20,60538.81020668573,MORENA-PT-Partido Verde,5,61212.44317231297,15,20-24,-61212.44317231297
GUERRERO,99,Mujeres,45,30466.639592402375,NS,5,30805.65076079596,12,45-49,30805.65076079596
GUERRERO,99,Hombres,56,36762.05539496535,NS,5,37171.117487756994,12,55-59,-37171.117487756994
MICHOACAN  DE OCAMPO,7,Hombres,43,58773.48723479726,MORENA-PT-Partido Verde,5,59427.47693778384,16,40-44,-59427.47693778384
QUINTANA ROO,99,Hombres,25,130480.5484986068,NS,5,131932.44354810807,23,25-29,-131932.44354810807
MEXICO,1,Mujeres,29,64905.42098456637,PAN-PRI-PRD,5,65627.6424995556,15,25-29,65627.6424995556
GUERRERO,7,Hombres,30,35790.32584776304,MORENA-PT-Partido Verde,5,36188.575222986656,12,30-34,-36188.575222986656
MICHOACAN  DE OCAMPO,7,Mujeres,61,74399.76496045296,MORENA-PT-Partido Verde,5,75227.63280491787,16,60-64,75227.63280491787
MEXICO,7,Hombres,27,74140.93678429199,MORENA-PT-Partido Verde,5,74965.92457228899,15,25-29,-74965.92457228899
GUERRERO,2,Mujeres,47,30587.887898446876,PAN-PRI-PRD,5,30928.248232040427,12,45-49,30928.248232040427
MEXICO,7,Hombres,66,74645.97204689088,MORENA-PT-Partido Verde,5,75476.57950928401,15,65-100,-75476.57950928401
MEXICO,1,Hombres,59,76153.90920697972,PAN-PRI-PRD,5,77001.29592515375,15,55-59,-77001.29592515375
QUINTANA ROO,1,Mujeres,49,130972.99758637574,PAN-PRI-PRD,5,132430.37226024165,23,45-49,132430.37226024165
MICHOACAN  DE OCAMPO,1,Mujeres,40,54385.91627756178,PAN-PRI-PRD,5,54991.08420116862,16,40-44,54991.08420116862
MEXICO,7,Hombres,38,68204.33544595882,MORENA-PT-Partido Verde,5,68963.26494256167,15,35-39,-68963.26494256167
MICHOACAN  DE OCAMPO,7,Hombres,32,63889.21427319153,MORENA-PT-Partido Verde,5,64600.128160258486,16,30-34,-64600.128160258486
MEXICO,1,Hombres,21,63125.65725138546,PAN-PRI-PRD,5,63828.074817179026,15,20-24,-63828.074817179026
MICHOACAN  DE OCAMPO,2,Mujeres,43,51523.62700431195,PAN-PRI-PRD,5,52096.94540188682,16,40-44,52096.94540188682
MICHOACAN  DE OCAMPO,3,Hombres,52,62170.113127750185,PAN-PRI-PRD,5,62861.898075895755,16,50-54,-62861.898075895755
MICHOACAN  DE OCAMPO,7,Mujeres,31,52987.133651241464,MORENA-PT-Partido Verde,5,53576.736913342414,16,30-34,53576.736913342414
