estado,voto,genero,edad,ponderado,partido,encuesta,inverso,homo_pon,N_estado,rango_edad,total
14,3,Mujeres,19,0.45497100005745206,Movimiento Ciudadano,2,2.197942286153894,139767.9346551703,JALISCO,19-19,139767.9346551703
14,2,Mujeres,38,1.198200797319328,PAN-PRI-PRD,2,0.8345846557916233,53071.53621354187,JALISCO,35-39,53071.53621354187
14,3,Mujeres,36,0.4056568090985166,Movimiento Ciudadano,2,2.465137962856536,156759.0031271584,JALISCO,35-39,156759.0031271584
14,2,Hombres,41,0.8397506052671342,PAN-PRI-PRD,2,1.1908297460314288,75725.28868353557,JALISCO,40-44,-75725.28868353557
15,1,Hombres,32,3.74106961394778,MORENA-PT-Partido Verde,2,0.26730323228194236,16997.9079696738,MEXICO,30-34,-16997.9079696738
14,2,Mujeres,34,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081,JALISCO,30-34,68677.64563231081
16,3,Hombres,43,0.8397506052671342,Movimiento Ciudadano,2,1.1908297460314288,75725.28868353557,MICHOACAN  DE OCAMPO,40-44,-75725.28868353557
14,3,Hombres,32,0.7060986874661334,Movimiento Ciudadano,2,1.4162326283150937,90058.7384381414,JALISCO,30-34,-90058.7384381414
16,1,Mujeres,36,0.4056568090985166,MORENA-PT-Partido Verde,2,2.465137962856536,156759.0031271584,MICHOACAN  DE OCAMPO,35-39,156759.0031271584
14,1,Mujeres,34,0.7575168826792147,MORENA-PT-Partido Verde,2,1.320102591592628,83945.79508395727,JALISCO,30-34,83945.79508395727
14,1,Hombres,39,1.0264407229216197,MORENA-PT-Partido Verde,2,0.9742403800519918,61952.29357719403,JALISCO,35-39,-61952.29357719403
14,3,Mujeres,20,1.3438616160233574,Movimiento Ciudadano,2,0.7441242372552586,47319.125903899774,JALISCO,20-24,47319.125903899774
15,1,Mujeres,33,0.6325764682109873,MORENA-PT-Partido Verde,2,1.5808365474424564,100525.96042004168,MEXICO,30-34,100525.96042004168
15,1,Hombres,45,0.6617955517242865,MORENA-PT-Partido Verde,2,1.5110406792468354,96087.61624393649,MEXICO,45-49,-96087.61624393649
15,1,Mujeres,28,0.4921120524492657,MORENA-PT-Partido Verde,2,2.0320575263762617,129219.26355905154,MEXICO,25-29,129219.26355905154
14,3,Hombres,30,0.8455605029158749,Movimiento Ciudadano,2,1.1826474824114277,75204.97561882225,JALISCO,30-34,-75204.97561882225
14,3,Hombres,39,0.8397506052671342,Movimiento Ciudadano,2,1.1908297460314288,75725.28868353557,JALISCO,35-39,-75725.28868353557
14,1,Mujeres,30,0.7575168826792147,MORENA-PT-Partido Verde,2,1.320102591592628,83945.79508395727,JALISCO,30-34,83945.79508395727
16,2,Mujeres,26,0.4921120524492657,PAN-PRI-PRD,2,2.0320575263762617,129219.26355905154,MICHOACAN  DE OCAMPO,25-29,129219.26355905154
16,2,Mujeres,29,0.6325764682109873,PAN-PRI-PRD,2,1.5808365474424564,100525.96042004168,MICHOACAN  DE OCAMPO,25-29,100525.96042004168
18,1,Mujeres,41,1.7495041149930255,MORENA-PT-Partido Verde,2,0.5715905389590846,36347.64643367584,NAYARIT,40-44,36347.64643367584
8,1,Mujeres,45,0.5734518885405548,MORENA-PT-Partido Verde,2,1.7438254542068343,110890.4831892106,COAHUILA DE ZARAGOZA,45-49,110890.4831892106
