voto,genero,edad,ponderado,inverso,homo_pon,estado,partido,rango_edad,total
NA,Hombres,49,0.21,4.761904761904762,230102.2018231392,NA,MORENA-PT-Partido Verde,45-49,-230102.2018231392
NA,Mujeres,34,0.44,2.272727272727273,109821.50541558916,NA,Ninguno,30-34,109821.50541558916
NA,Hombres,50,0.3,3.3333333333333335,161071.54127619744,NA,Ninguno,50-54,-161071.54127619744
NA,Mujeres,22,1.99,0.5025125628140703,24282.141900934286,NA,NS,20-24,24282.141900934286
NA,Hombres,68,0.39,2.564102564102564,123901.18559707492,NA,MORENA-PT-Partido Verde,65-100,-123901.18559707492
NA,Mujeres,28,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde,25-29,50864.69724511498
NA,Hombres,29,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde,25-29,-138061.3210938835
NA,Mujeres,33,1.79,0.5586592178770949,26995.2303814856,NA,PAN-PRI-PRD,30-34,26995.2303814856
NA,Mujeres,47,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde,45-49,28093.87347840653
NA,Hombres,33,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde,30-34,-254323.48622557492
NA,Hombres,27,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,25-29,-151004.5699464351
NA,Mujeres,42,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD,40-44,74340.71135824495
NA,Mujeres,50,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde,50-54,268452.56879366236
NA,Hombres,31,0.25,4,193285.84953143692,NA,Movimiento Ciudadano,30-34,-193285.84953143692
NA,Hombres,37,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde,35-39,-98615.22935277394
NA,Mujeres,26,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde,25-29,50864.69724511498
NA,Hombres,58,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD,55-59,-42762.35609102587
NA,Mujeres,33,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde,30-34,28093.87347840653
NA,Hombres,43,1.9,0.5263157894736842,25432.34862255749,NA,Movimiento Ciudadano,40-44,-25432.34862255749
NA,Mujeres,54,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde,50-54,34763.64200205701
NA,Hombres,26,0.99,1.0101010101010102,48809.55796248407,NA,PAN-PRI-PRD,25-29,-48809.55796248407
NA,Mujeres,33,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde,30-34,28093.87347840653
NA,Hombres,44,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde,40-44,-98615.22935277394
NA,Hombres,23,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde,20-24,-138061.3210938835
NA,Mujeres,55,0.47,2.127659574468085,102811.62209118984,NA,MORENA-PT-Partido Verde,55-59,102811.62209118984
NA,Hombres,57,0.39,2.564102564102564,123901.18559707492,NA,MORENA-PT-Partido Verde,55-59,-123901.18559707492
NA,Mujeres,34,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,30-34,210093.3147080836
NA,Hombres,49,1.4,0.7142857142857143,34515.33027347088,NA,PAN-PRI-PRD,45-49,-34515.33027347088
NA,Hombres,45,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde,45-49,-254323.48622557492
NA,Hombres,58,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,55-59,-107381.02751746496
NA,Mujeres,30,0.58,1.7241379310344829,83312.8661773435,NA,MORENA-PT-Partido Verde,30-34,83312.8661773435
NA,Mujeres,68,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde,65-100,268452.56879366236
NA,Hombres,48,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde,45-49,-254323.48622557492
