estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,34,52071.20546558153,53061.8890200955,MORENA-PT-Partido Verde,30-34,-53061.8890200955
NA,NA,Hombres,51,29188.29851916856,29743.62208175246,MORENA-PT-Partido Verde,50-54,-29743.62208175246
NA,NA,Mujeres,84,186251.43295492473,189794.9697327523,MORENA-PT-Partido Verde,65-100,189794.9697327523
NA,NA,Mujeres,54,38119.51859592837,38844.7635723278,MORENA-PT-Partido Verde,50-54,38844.7635723278
NA,NA,Hombres,78,30859.165473183293,31446.278205968316,MORENA-PT-Partido Verde,65-100,-31446.278205968316
NA,NA,Hombres,44,25832.00321450843,26323.4713980457,MORENA-PT-Partido Verde,40-44,-26323.4713980457
NA,NA,Mujeres,44,21022.40207755932,21422.364932814984,MORENA-PT-Partido Verde,40-44,21422.364932814984
NA,NA,Mujeres,29,53273.288625982146,54286.84247910969,NR,25-29,54286.84247910969
NA,NA,Mujeres,24,144169.63483190985,146912.54206847583,PAN-PRI-PRD,20-24,146912.54206847583
NA,NA,Hombres,44,58355.08502917287,59465.32287643912,PAN-PRI-PRD,40-44,-59465.32287643912
NA,NA,Mujeres,18,21929.43735355012,22346.657057831148,MORENA-PT-Partido Verde,18-18,22346.657057831148
NA,NA,Mujeres,60,75653.45494295766,77092.80386879905,PAN-PRI-PRD,60-64,77092.80386879905
NA,NA,Mujeres,50,56925.55501843168,58008.595264650234,MORENA-PT-Partido Verde,50-54,58008.595264650234
NA,NA,Hombres,47,48208.34527465004,49125.53577229457,MORENA-PT-Partido Verde,45-49,-49125.53577229457
NA,NA,Mujeres,44,31393.678361235103,31990.960498072403,MORENA-PT-Partido Verde,40-44,31990.960498072403
NA,NA,Mujeres,34,59464.993567836,60596.34804043167,MORENA-PT-Partido Verde,30-34,60596.34804043167
NA,NA,Hombres,75,57530.62087620833,58625.1728358458,NR,65-100,-58625.1728358458
NA,NA,Hombres,42,38576.06744228063,39309.998513612365,MORENA-PT-Partido Verde,40-44,-39309.998513612365
NA,NA,Hombres,34,77760.22312946085,79239.65448813398,MORENA-PT-Partido Verde,30-34,-79239.65448813398
NA,NA,Hombres,24,69716.0654499911,71042.45224878295,MORENA-PT-Partido Verde,20-24,-71042.45224878295
NA,NA,Hombres,68,46083.35012274309,46960.11140943325,MORENA-PT-Partido Verde,65-100,-46960.11140943325
NA,NA,Mujeres,54,43805.70079382834,44639.12853920848,MORENA-PT-Partido Verde,50-54,44639.12853920848
NA,NA,Hombres,60,45839.927844882215,46712.05788777222,MORENA-PT-Partido Verde,60-64,-46712.05788777222
NA,NA,Mujeres,36,28773.95105639586,29321.39142876833,MORENA-PT-Partido Verde,35-39,29321.39142876833
NA,NA,Hombres,43,59733.03763596203,60869.49179556904,Ninguno,40-44,-60869.49179556904
NA,NA,Hombres,34,40523.80730968246,41294.79521190285,Ninguno,30-34,-41294.79521190285
NA,NA,Mujeres,55,72427.33724879062,73805.30749680112,PAN-PRI-PRD,55-59,73805.30749680112
NA,NA,Mujeres,34,41225.20540460867,42009.5377944705,Ninguno,30-34,42009.5377944705
NA,NA,Hombres,24,30762.856818384073,31348.13722561385,MORENA-PT-Partido Verde,20-24,-31348.13722561385
NA,NA,Hombres,45,75622.23107632688,77060.98595079377,PAN-PRI-PRD,45-49,-77060.98595079377
NA,NA,Mujeres,22,50897.15800113095,51865.50465169099,PAN-PRI-PRD,20-24,51865.50465169099
NA,NA,Hombres,24,56898.32376518798,57980.84592171539,MORENA-PT-Partido Verde,20-24,-57980.84592171539
NA,NA,Hombres,52,99809.88201948584,101708.82036382744,PAN-PRI-PRD,50-54,-101708.82036382744
NA,NA,Mujeres,50,97363.04681505696,99215.43276300291,MORENA-PT-Partido Verde,50-54,99215.43276300291
NA,NA,Hombres,27,264133.90566703415,269159.1996696252,PAN-PRI-PRD,25-29,-269159.1996696252
NA,NA,Hombres,71,140079.4030574489,142744.4913667041,PAN-PRI-PRD,65-100,-142744.4913667041
NA,NA,Hombres,37,109781.24073738302,111869.88970988574,PAN-PRI-PRD,35-39,-111869.88970988574
NA,NA,Mujeres,40,166783.04865254922,169956.18862490877,Movimiento Ciudadano,40-44,169956.18862490877
NA,NA,Mujeres,75,187618.66783281343,191188.2170122471,PAN-PRI-PRD,65-100,191188.2170122471
NA,NA,Mujeres,27,111455.90348965429,113576.41384952451,MORENA-PT-Partido Verde,25-29,113576.41384952451
NA,NA,Mujeres,21,41672.1320645605,42464.96748192341,MORENA-PT-Partido Verde,20-24,42464.96748192341
NA,NA,Hombres,20,126246.43507320494,128648.34349696344,PAN-PRI-PRD,20-24,-128648.34349696344
NA,NA,Mujeres,61,125573.8960664153,127963.00906268488,MORENA-PT-Partido Verde,60-64,127963.00906268488
NA,NA,Mujeres,31,108621.14683261358,110687.72437537176,PAN-PRI-PRD,30-34,110687.72437537176
NA,NA,Hombres,33,102137.79482500337,104081.0230011656,MORENA-PT-Partido Verde,30-34,-104081.0230011656
NA,NA,Hombres,64,168056.0799387869,171253.44003719077,PAN-PRI-PRD,60-64,-171253.44003719077
NA,NA,Mujeres,37,61986.84652970434,63166.18065312405,MORENA-PT-Partido Verde,35-39,63166.18065312405
NA,NA,Hombres,50,60526.36551572909,61677.91317810401,MORENA-PT-Partido Verde,50-54,-61677.91317810401
NA,NA,Mujeres,18,117020.92628933418,119247.31429345797,MORENA-PT-Partido Verde,18-18,119247.31429345797
NA,NA,Mujeres,45,81551.58250125358,83103.14657406889,MORENA-PT-Partido Verde,45-49,83103.14657406889
NA,NA,Hombres,23,73769.96268885504,75173.47713027247,MORENA-PT-Partido Verde,20-24,-75173.47713027247
NA,NA,Mujeres,25,51859.06051256274,52845.70789172318,MORENA-PT-Partido Verde,25-29,52845.70789172318
NA,NA,Mujeres,68,61298.34820200434,62464.583263006265,MORENA-PT-Partido Verde,65-100,62464.583263006265
NA,NA,Mujeres,22,43801.391640014896,44634.73740135454,PAN-PRI-PRD,20-24,44634.73740135454
NA,NA,Mujeres,47,47059.09968443112,47954.4251475302,MORENA-PT-Partido Verde,45-49,47954.4251475302
NA,NA,Hombres,26,68230.51199032187,69528.63531088835,MORENA-PT-Partido Verde,25-29,-69528.63531088835
NA,NA,Hombres,50,46440.31001803976,47323.862664651955,PAN-PRI-PRD,50-54,-47323.862664651955
NA,NA,Mujeres,35,44585.441752359904,45433.704501798245,PAN-PRI-PRD,35-39,45433.704501798245
NA,NA,Hombres,46,51870.73948292436,52857.60906097125,PAN-PRI-PRD,45-49,-52857.60906097125
NA,NA,Hombres,76,28851.95394202631,29400.87836254607,MORENA-PT-Partido Verde,65-100,-29400.87836254607
NA,NA,Hombres,22,26474.08995680667,26977.77419661686,MORENA-PT-Partido Verde,20-24,-26977.77419661686
NA,NA,Hombres,75,55562.704220434265,56619.81547459742,PAN-PRI-PRD,65-100,-56619.81547459742
NA,NA,Mujeres,54,48494.776769286465,49417.41678492648,Movimiento Ciudadano,50-54,49417.41678492648
NA,NA,Mujeres,60,35125.67834815221,35793.963853923015,NR,60-64,35793.963853923015
NA,NA,Hombres,51,65937.0327496057,67191.52135601334,PAN-PRI-PRD,50-54,-67191.52135601334
NA,NA,Hombres,26,52673.686171214686,53675.83225519472,PAN-PRI-PRD,25-29,-53675.83225519472
NA,NA,Hombres,43,25832.00321450843,26323.4713980457,MORENA-PT-Partido Verde,40-44,-26323.4713980457
NA,NA,Hombres,19,14689.065656712264,14968.533275085334,MORENA-PT-Partido Verde,19-19,-14968.533275085334
NA,NA,Mujeres,43,21022.40207755932,21422.364932814984,MORENA-PT-Partido Verde,40-44,21422.364932814984
NA,NA,Mujeres,54,86112.86281070042,87751.2077703743,PAN-PRI-PRD,50-54,87751.2077703743
NA,NA,Mujeres,26,42673.12910152074,43485.009042507925,MORENA-PT-Partido Verde,25-29,43485.009042507925
NA,NA,Hombres,59,89304.83611682501,91003.91013841612,MORENA-PT-Partido Verde,55-59,-91003.91013841612
NA,NA,Hombres,28,58056.35150890569,59160.90578531806,MORENA-PT-Partido Verde,25-29,-59160.90578531806
NA,NA,Mujeres,21,37323.454765264774,38033.55418591357,MORENA-PT-Partido Verde,20-24,38033.55418591357
NA,NA,Mujeres,27,44081.3117471384,44919.98314371591,MORENA-PT-Partido Verde,25-29,44919.98314371591
NA,NA,Mujeres,35,40803.82815021379,41580.143604180965,MORENA-PT-Partido Verde,35-39,41580.143604180965
NA,NA,Mujeres,73,112447.7513532062,114587.13216860392,PAN-PRI-PRD,65-100,114587.13216860392
NA,NA,Mujeres,49,53682.62694512982,54703.96868673405,MORENA-PT-Partido Verde,45-49,54703.96868673405
NA,NA,Hombres,20,48560.25187152043,49484.13758728267,MORENA-PT-Partido Verde,20-24,-49484.13758728267
NA,NA,Hombres,43,120433.07833738717,122724.38442607,PAN-PRI-PRD,40-44,-122724.38442607
NA,NA,Hombres,47,42738.611912921275,43551.73770070186,MORENA-PT-Partido Verde,45-49,-43551.73770070186
NA,NA,Hombres,21,83199.38862345264,84782.30312135788,Ninguno,20-24,-84782.30312135788
NA,NA,Mujeres,30,57340.35505862781,58431.2871055942,MORENA-PT-Partido Verde,30-34,58431.2871055942
NA,NA,Mujeres,30,57340.35505862781,58431.2871055942,MORENA-PT-Partido Verde,30-34,58431.2871055942
NA,NA,Mujeres,23,51223.119461823786,52197.667709900656,MORENA-PT-Partido Verde,20-24,52197.667709900656
NA,NA,Hombres,22,66644.62328996562,67912.57419872245,MORENA-PT-Partido Verde,20-24,-67912.57419872245
NA,NA,Mujeres,35,100828.72928499656,102747.0517634576,PAN-PRI-PRD,35-39,102747.0517634576
NA,NA,Hombres,53,54680.20698234594,55720.52823725978,MORENA-PT-Partido Verde,50-54,-55720.52823725978
NA,NA,Hombres,34,92272.44547337314,94027.97990834372,MORENA-PT-Partido Verde,30-34,-94027.97990834372
NA,NA,Mujeres,55,67851.86330302259,69142.78262237397,MORENA-PT-Partido Verde,55-59,69142.78262237397
NA,NA,Hombres,46,100379.29917579728,102289.07099724724,PAN-PRI-PRD,45-49,-102289.07099724724
NA,NA,Mujeres,45,93727.16990744395,95510.38128133498,Movimiento Ciudadano,45-49,95510.38128133498
NA,NA,Mujeres,40,98415.10919084176,100287.511208796,MORENA-PT-Partido Verde,40-44,100287.511208796
NA,NA,Hombres,49,24924.965214926822,25399.17649762091,MORENA-PT-Partido Verde,45-49,-25399.17649762091
NA,NA,Hombres,61,64363.72082017694,65588.27629481493,Movimiento Ciudadano,60-64,-65588.27629481493
NA,NA,Hombres,36,33717.80967054119,34359.30969413708,MORENA-PT-Partido Verde,35-39,-34359.30969413708
NA,NA,Mujeres,54,29431.98881005593,29991.948715536408,MORENA-PT-Partido Verde,50-54,29991.948715536408
NA,NA,Hombres,22,44998.726445056614,45854.852164916454,Ninguno,20-24,-45854.852164916454
NA,NA,Mujeres,34,30744.944422797736,31329.884036770076,MORENA-PT-Partido Verde,30-34,31329.884036770076
NA,NA,Mujeres,76,119668.84782584506,121945.61400532332,MORENA-PT-Partido Verde,65-100,121945.61400532332
NA,NA,Mujeres,42,16231.346184243535,16540.15654476,MORENA-PT-Partido Verde,40-44,16540.15654476
NA,NA,Mujeres,59,21729.026640123844,22142.433419465557,MORENA-PT-Partido Verde,55-59,22142.433419465557
NA,NA,Hombres,54,50909.82471803756,51878.41235990972,PAN-PRI-PRD,50-54,-51878.41235990972
NA,NA,Hombres,37,16815.244292256873,17135.16363801669,PAN-PRI-PRD,35-39,-17135.16363801669
NA,NA,Mujeres,26,17071.75317389675,17396.552743349395,MORENA-PT-Partido Verde,25-29,17396.552743349395
NA,NA,Hombres,33,9196.087152467437,9371.047809252088,MORENA-PT-Partido Verde,30-34,-9371.047809252088
NA,NA,Hombres,63,29336.777017439537,29894.925465775945,PAN-PRI-PRD,60-64,-29894.925465775945
NA,NA,Mujeres,36,10370.385769551252,10567.68810860793,Movimiento Ciudadano,35-39,10567.68810860793
NA,NA,Mujeres,31,9355.255760693812,9533.24468849994,MORENA-PT-Partido Verde,30-34,9533.24468849994
NA,NA,Hombres,45,9483.67626322246,9664.108462291082,MORENA-PT-Partido Verde,45-49,-9664.108462291082
NA,NA,Mujeres,65,16792.352206515177,17111.836017651392,MORENA-PT-Partido Verde,65-100,17111.836017651392
NA,NA,Mujeres,24,7968.485461199497,8120.090315172237,NR,20-24,8120.090315172237
NA,NA,Hombres,18,28960.265179453207,29511.250281317454,MORENA-PT-Partido Verde,18-18,-29511.250281317454
NA,NA,Mujeres,57,11989.76893850943,12217.880940211697,MORENA-PT-Partido Verde,55-59,12217.880940211697
NA,NA,Hombres,51,161681.48321235817,164757.56307368926,MORENA-PT-Partido Verde,50-54,-164757.56307368926
NA,NA,Hombres,50,161681.48321235817,164757.56307368926,MORENA-PT-Partido Verde,50-54,-164757.56307368926
NA,NA,Mujeres,29,178882.9017051551,182286.24809052295,MORENA-PT-Partido Verde,25-29,182286.24809052295
NA,NA,Mujeres,38,165582.80348049226,168733.10812298555,MORENA-PT-Partido Verde,35-39,168733.10812298555
NA,NA,Hombres,39,127160.28983077264,129579.58484797452,MORENA-PT-Partido Verde,35-39,-129579.58484797452
NA,NA,Mujeres,30,169547.15728847525,172772.8859601748,MORENA-PT-Partido Verde,30-34,172772.8859601748
NA,NA,Hombres,68,213924.17353498485,217994.19954531384,MORENA-PT-Partido Verde,65-100,-217994.19954531384
NA,NA,Mujeres,23,151459.37417583942,154340.97274517085,MORENA-PT-Partido Verde,20-24,154340.97274517085
NA,NA,Hombres,20,197058.53610117815,200807.6840082892,MORENA-PT-Partido Verde,20-24,-200807.6840082892
NA,NA,Mujeres,71,266640.1451524288,271713.12175079726,MORENA-PT-Partido Verde,65-100,271713.12175079726
NA,NA,Hombres,66,462531.18399759894,471331.09622047184,PAN-PRI-PRD,65-100,-471331.09622047184
NA,NA,Hombres,41,213968.244989836,218039.10948402865,NR,40-44,-218039.10948402865
NA,NA,Mujeres,48,235807.32867742568,240293.6938473085,NR,45-49,240293.6938473085
NA,NA,Mujeres,19,122196.1077765003,124520.95647776213,MORENA-PT-Partido Verde,19-19,124520.95647776213
NA,NA,Mujeres,61,319481.3295792031,325559.6390087319,PAN-PRI-PRD,60-64,325559.6390087319
NA,NA,Hombres,25,461329.2521305524,470106.29693325167,PAN-PRI-PRD,25-29,-470106.29693325167
NA,NA,Hombres,18,97460.894487901,99315.14204207384,MORENA-PT-Partido Verde,18-18,-99315.14204207384
NA,NA,Mujeres,44,315093.3077518529,321088.132633207,PAN-PRI-PRD,40-44,321088.132633207
NA,NA,Hombres,46,214189.69850052576,218264.7762705427,MORENA-PT-Partido Verde,45-49,-218264.7762705427
NA,NA,Mujeres,29,484540.70872572187,493759.3643595809,PAN-PRI-PRD,25-29,493759.3643595809
NA,NA,Hombres,18,97460.894487901,99315.14204207384,MORENA-PT-Partido Verde,18-18,-99315.14204207384
