estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon,N_estado,rango_edad,total
1,2,Hombres,25,96355.29767701772,MORENA-PT-Partido Verde,3,103319.20622531664,AGUASCALIENTES,25-29,-103319.20622531664
21,2,Hombres,20,120360.25568040722,MORENA-PT-Partido Verde,3,129059.08006905467,PUEBLA,20-24,-129059.08006905467
2,2,Hombres,25,110861.5137478184,MORENA-PT-Partido Verde,3,118873.83338024406,BAJA CALIFORNIA,25-29,-118873.83338024406
14,8,Hombres,21,210590.2558361956,Ninguno,3,225810.29373926905,JALISCO,20-24,-225810.29373926905
29,2,Hombres,29,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,TLAXCALA,25-29,-34175.52303859391
29,2,Hombres,25,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,TLAXCALA,25-29,-34175.52303859391
1,2,Hombres,22,119645.37201807236,MORENA-PT-Partido Verde,3,128292.52945568349,AGUASCALIENTES,20-24,-128292.52945568349
3,2,Hombres,27,47391.33999913247,MORENA-PT-Partido Verde,3,50816.46519402889,BAJA CALIFORNIA SUR,25-29,-50816.46519402889
3,9,Hombres,18,68549.4974444897,NS,3,73503.79100949349,BAJA CALIFORNIA SUR,18-18,-73503.79100949349
1,2,Hombres,29,35118.63490432613,MORENA-PT-Partido Verde,3,37656.77206658781,AGUASCALIENTES,25-29,-37656.77206658781
18,2,Hombres,18,29668.88459907168,MORENA-PT-Partido Verde,3,31813.15070647896,NAYARIT,18-18,-31813.15070647896
19,2,Hombres,20,42098.965199125574,MORENA-PT-Partido Verde,3,45141.593375185425,NUEVO LEON,20-24,-45141.593375185425
13,2,Hombres,19,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,HIDALGO,19-19,-34175.52303859391
1,2,Hombres,22,22866.087863261313,MORENA-PT-Partido Verde,3,24518.69388053378,AGUASCALIENTES,20-24,-24518.69388053378
32,1,Hombres,18,39431.821757944606,PAN-PRI-PRD,3,42281.68686381149,ZACATECAS,18-18,-42281.68686381149
32,2,Hombres,21,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,ZACATECAS,20-24,-63626.30141295792
1,2,Hombres,24,37315.081684527446,MORENA-PT-Partido Verde,3,40011.96314915015,AGUASCALIENTES,20-24,-40011.96314915015
1,1,Hombres,21,26815.452510499406,PAN-PRI-PRD,3,28753.491865536453,AGUASCALIENTES,20-24,-28753.491865536453
3,2,Hombres,19,89847.06912667281,MORENA-PT-Partido Verde,3,96340.606978926,BAJA CALIFORNIA SUR,19-19,-96340.606978926
3,2,Hombres,29,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,BAJA CALIFORNIA SUR,25-29,-32171.27272322034
27,2,Hombres,18,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,TABASCO,18-18,-63626.30141295792
29,2,Hombres,25,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,TLAXCALA,25-29,-34175.52303859391
4,1,Hombres,18,31524.02458171356,PAN-PRI-PRD,3,33802.36764695159,CAMPECHE,18-18,-33802.36764695159
31,2,Hombres,18,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,YUCATAN,18-18,-63626.30141295792
15,2,Hombres,29,34278.27491008143,MORENA-PT-Partido Verde,3,36755.67654156632,MEXICO,25-29,-36755.67654156632
15,2,Hombres,18,56732.488248500485,MORENA-PT-Partido Verde,3,60832.72839517415,MEXICO,18-18,-60832.72839517415
2,9,Hombres,18,68549.4974444897,NS,3,73503.79100949349,BAJA CALIFORNIA,18-18,-73503.79100949349
9,2,Hombres,26,32045.596473920457,MORENA-PT-Partido Verde,3,34361.63522425582,COLIMA,25-29,-34361.63522425582
12,1,Hombres,22,53545.00281867486,PAN-PRI-PRD,3,57414.873099160715,GUERRERO,20-24,-57414.873099160715
30,2,Hombres,18,52807.4563827196,MORENA-PT-Partido Verde,3,56624.02180032876,VERACRUZ DE IGNACIO DE LA LLAVE,18-18,-56624.02180032876
19,2,Hombres,25,39432.55316067344,MORENA-PT-Partido Verde,3,42282.47112737765,NUEVO LEON,25-29,-42282.47112737765
19,9,Hombres,26,49752.590500665545,NS,3,53348.37089510709,NUEVO LEON,25-29,-53348.37089510709
19,2,Hombres,18,206483.15888669097,MORENA-PT-Partido Verde,3,221406.36362910917,NUEVO LEON,18-18,-221406.36362910917
21,2,Hombres,29,28125.453077093865,MORENA-PT-Partido Verde,3,30158.170403803655,PUEBLA,25-29,-30158.170403803655
21,1,Hombres,18,50933.150530891144,PAN-PRI-PRD,3,54614.253811406124,PUEBLA,18-18,-54614.253811406124
2,9,Hombres,20,33700.904486829604,NS,3,36136.577693173866,BAJA CALIFORNIA,20-24,-36136.577693173866
