estado,columnas,total,digitos,min,max,genero,rango_edad,N_estado
1,LISTA_18_HOMBRES,-10375,18,18,18,Hombres,18-18,AGUASCALIENTES
1,LISTA_18_MUJERES,10650,18,18,18,Mujeres,18-18,AGUASCALIENTES
1,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,AGUASCALIENTES
1,LISTA_19_HOMBRES,-12829,19,19,19,Hombres,19-19,AGUASCALIENTES
1,LISTA_19_MUJERES,13040,19,19,19,Mujeres,19-19,AGUASCALIENTES
1,LISTA_19_NOBINARIO,0,19,19,19,No binario,19-19,AGUASCALIENTES
1,LISTA_20_24_HOMBRES,-69434,2024,20,24,Hombres,20-24,AGUASCALIENTES
1,LISTA_20_24_MUJERES,68936,2024,20,24,Mujeres,20-24,AGUASCALIENTES
1,LISTA_20_24_NOBINARIO,2,2024,20,24,No binario,20-24,AGUASCALIENTES
1,LISTA_25_29_HOMBRES,-66303,2529,25,29,Hombres,25-29,AGUASCALIENTES
1,LISTA_25_29_MUJERES,66157,2529,25,29,Mujeres,25-29,AGUASCALIENTES
1,LISTA_25_29_NOBINARIO,0,2529,25,29,No binario,25-29,AGUASCALIENTES
1,LISTA_30_34_HOMBRES,-62079,3034,30,34,Hombres,30-34,AGUASCALIENTES
1,LISTA_30_34_MUJERES,63716,3034,30,34,Mujeres,30-34,AGUASCALIENTES
1,LISTA_30_34_NOBINARIO,0,3034,30,34,No binario,30-34,AGUASCALIENTES
1,LISTA_35_39_HOMBRES,-53549,3539,35,39,Hombres,35-39,AGUASCALIENTES
1,LISTA_35_39_MUJERES,56242,3539,35,39,Mujeres,35-39,AGUASCALIENTES
1,LISTA_35_39_NOBINARIO,1,3539,35,39,No binario,35-39,AGUASCALIENTES
1,LISTA_40_44_HOMBRES,-49631,4044,40,44,Hombres,40-44,AGUASCALIENTES
1,LISTA_40_44_MUJERES,52946,4044,40,44,Mujeres,40-44,AGUASCALIENTES
1,LISTA_40_44_NOBINARIO,0,4044,40,44,No binario,40-44,AGUASCALIENTES
1,LISTA_45_49_HOMBRES,-45441,4549,45,49,Hombres,45-49,AGUASCALIENTES
1,LISTA_45_49_MUJERES,49623,4549,45,49,Mujeres,45-49,AGUASCALIENTES
1,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,AGUASCALIENTES
1,LISTA_50_54_HOMBRES,-41427,5054,50,54,Hombres,50-54,AGUASCALIENTES
1,LISTA_50_54_MUJERES,46527,5054,50,54,Mujeres,50-54,AGUASCALIENTES
1,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,AGUASCALIENTES
1,LISTA_55_59_HOMBRES,-34550,5559,55,59,Hombres,55-59,AGUASCALIENTES
1,LISTA_55_59_MUJERES,39412,5559,55,59,Mujeres,55-59,AGUASCALIENTES
1,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,AGUASCALIENTES
1,LISTA_60_64_HOMBRES,-28126,6064,60,64,Hombres,60-64,AGUASCALIENTES
1,LISTA_60_64_MUJERES,32494,6064,60,64,Mujeres,60-64,AGUASCALIENTES
1,LISTA_60_64_NOBINARIO,0,6064,60,64,No binario,60-64,AGUASCALIENTES
1,LISTA_65_Y_MAS_HOMBRES,-56142,65,65,100,Hombres,65-100,AGUASCALIENTES
1,LISTA_65_Y_MAS_MUJERES,68713,65,65,100,Mujeres,65-100,AGUASCALIENTES
1,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,AGUASCALIENTES
10,LISTA_18_HOMBRES,-10919,18,18,18,Hombres,18-18,DURANGO
10,LISTA_18_MUJERES,10769,18,18,18,Mujeres,18-18,DURANGO
10,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,DURANGO
10,LISTA_19_HOMBRES,-14953,19,19,19,Hombres,19-19,DURANGO
10,LISTA_19_MUJERES,14999,19,19,19,Mujeres,19-19,DURANGO
10,LISTA_19_NOBINARIO,0,19,19,19,No binario,19-19,DURANGO
10,LISTA_20_24_HOMBRES,-81850,2024,20,24,Hombres,20-24,DURANGO
10,LISTA_20_24_MUJERES,82163,2024,20,24,Mujeres,20-24,DURANGO
10,LISTA_20_24_NOBINARIO,0,2024,20,24,No binario,20-24,DURANGO
10,LISTA_25_29_HOMBRES,-80650,2529,25,29,Hombres,25-29,DURANGO
10,LISTA_25_29_MUJERES,79979,2529,25,29,Mujeres,25-29,DURANGO
10,LISTA_25_29_NOBINARIO,0,2529,25,29,No binario,25-29,DURANGO
10,LISTA_30_34_HOMBRES,-73187,3034,30,34,Hombres,30-34,DURANGO
10,LISTA_30_34_MUJERES,76163,3034,30,34,Mujeres,30-34,DURANGO
10,LISTA_30_34_NOBINARIO,0,3034,30,34,No binario,30-34,DURANGO
10,LISTA_35_39_HOMBRES,-66135,3539,35,39,Hombres,35-39,DURANGO
10,LISTA_35_39_MUJERES,69204,3539,35,39,Mujeres,35-39,DURANGO
10,LISTA_35_39_NOBINARIO,0,3539,35,39,No binario,35-39,DURANGO
10,LISTA_40_44_HOMBRES,-60850,4044,40,44,Hombres,40-44,DURANGO
10,LISTA_40_44_MUJERES,63539,4044,40,44,Mujeres,40-44,DURANGO
10,LISTA_40_44_NOBINARIO,0,4044,40,44,No binario,40-44,DURANGO
10,LISTA_45_49_HOMBRES,-60134,4549,45,49,Hombres,45-49,DURANGO
10,LISTA_45_49_MUJERES,63313,4549,45,49,Mujeres,45-49,DURANGO
10,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,DURANGO
10,LISTA_50_54_HOMBRES,-56552,5054,50,54,Hombres,50-54,DURANGO
10,LISTA_50_54_MUJERES,60178,5054,50,54,Mujeres,50-54,DURANGO
10,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,DURANGO
10,LISTA_55_59_HOMBRES,-49115,5559,55,59,Hombres,55-59,DURANGO
10,LISTA_55_59_MUJERES,53618,5559,55,59,Mujeres,55-59,DURANGO
10,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,DURANGO
